A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1948,200,2110,632,1855,1358,1644,975,1503,1638,6.0,3.77,8.39,-17.44,4.62,-53.09,1.5,-34.29,43_0016425_0016449-reel_begin_end.tiff
2,4895,200,5074,306,4828,1357,4597,984,1503,1638,5.95,3.77,8.6,-1.43,4.96,-53.05,1.54,-34.73,43_0016425_0016449-reel_begin_end.tiff
3,7829,200,8009,702,7748,1360,7531,974,1503,1638,5.86,3.77,8.53,-20.88,4.66,-53.19,1.45,-34.24,43_0016425_0016449-reel_begin_end.tiff
4,10786,200,10963,816,10734,1358,10491,975,1503,1638,5.82,3.77,8.44,-26.48,5.05,-53.09,1.45,-34.29,43_0016425_0016449-reel_begin_end.tiff
5,13745,211,13924,677,13667,1354,13447,977,1503,1638,5.95,3.23,8.6,-19.65,4.8,-52.9,1.54,-34.38,43_0016425_0016449-reel_begin_end.tiff
6,16676,217,16856,651,16598,1356,16381,975,1503,1638,5.82,2.94,8.48,-18.37,4.66,-53.0,1.45,-34.29,43_0016425_0016449-reel_begin_end.tiff
7,19629,211,19811,607,19548,1357,19331,973,1503,1638,5.86,3.23,8.56,-16.21,4.66,-53.05,1.45,-34.19,43_0016425_0016449-reel_begin_end.tiff
8,22595,200,22769,608,22517,1354,22297,983,1503,1638,5.95,3.77,8.53,-16.26,4.8,-52.9,1.54,-34.68,43_0016425_0016449-reel_begin_end.tiff
9,25526,206,25703,876,25448,1357,25225,974,1503,1638,5.82,3.48,8.44,-29.42,4.66,-53.05,1.36,-34.24,43_0016425_0016449-reel_begin_end.tiff
10,28482,200,28673,813,28404,1356,28181,975,1503,1638,5.91,3.77,8.74,-26.33,4.75,-53.0,1.45,-34.29,43_0016425_0016449-reel_begin_end.tiff
11,31433,200,,,31367,1355,31141,974,1503,1638,5.77,3.77,,,4.8,-52.95,1.45,-34.24,43_0016425_0016449-reel_begin_end.tiff
12,34375,200,,,34288,1359,34074,975,1503,1638,5.95,3.77,,,4.66,-53.14,1.5,-34.29,43_0016425_0016449-reel_begin_end.tiff
