A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,448,516,575,485,358,1353,135,1033,1506,135,6.17,-11.74,8.02,-10.22,4.85,-52.85,1.6,-37.13,43_0016100_0016124-reel_begin_end.tiff
2,3395,526,3522,523,3305,1354,3085,1035,1506,135,6.12,-12.24,7.98,-12.09,4.81,-52.9,1.6,-37.23,43_0016100_0016124-reel_begin_end.tiff
3,6335,602,6462,484,6242,1352,6028,1048,1506,135,6.12,-15.97,7.98,-10.17,4.76,-52.8,1.64,-37.87,43_0016100_0016124-reel_begin_end.tiff
4,9298,539,9405,605,9211,1354,8991,1057,1506,135,6.17,-12.87,7.73,-16.11,4.9,-52.9,1.69,-38.31,43_0016100_0016124-reel_begin_end.tiff
5,12252,550,12350,676,12177,1352,11942,1041,1506,135,6.08,-13.41,7.51,-19.6,4.98,-52.8,1.55,-37.53,43_0016100_0016124-reel_begin_end.tiff
6,15189,539,15276,601,15108,1353,14882,1052,1506,135,6.03,-12.87,7.3,-15.92,4.85,-52.85,1.55,-38.07,43_0016100_0016124-reel_begin_end.tiff
7,18142,602,18232,574,18061,1354,17829,1035,1506,135,6.08,-15.97,7.39,-14.59,4.9,-52.9,1.51,-37.23,43_0016100_0016124-reel_begin_end.tiff
8,21108,559,21189,632,21030,1353,20792,1037,1506,135,6.17,-13.86,7.35,-17.44,5.03,-52.85,1.55,-37.33,43_0016100_0016124-reel_begin_end.tiff
9,21103,571,21178,637,21028,1353,20793,1040,1506,135,6.12,-14.44,7.22,-17.69,5.03,-52.85,1.6,-37.48,43_0016100_0016124-reel_begin_end.tiff
10,24049,523,24118,452,23965,1353,23730,1037,1506,135,6.21,-12.09,7.22,-8.6,4.98,-52.85,1.55,-37.33,43_0016100_0016124-reel_begin_end.tiff
11,27007,700,27080,460,26909,1351,26677,1032,1506,135,6.33,-20.78,7.39,-8.99,4.9,-52.75,1.51,-37.08,43_0016100_0016124-reel_begin_end.tiff
12,29953,539,30045,618,29875,1353,29640,1032,1506,135,6.12,-12.87,7.46,-16.75,4.98,-52.85,1.55,-37.08,43_0016100_0016124-reel_begin_end.tiff
13,32899,542,32980,391,32809,1352,32583,1050,1506,135,6.21,-13.02,7.39,-5.61,4.9,-52.8,1.6,-37.97,43_0016100_0016124-reel_begin_end.tiff
14,,,,,,,,,1506,135,,,,,,,,,43_0016100_0016124-reel_begin_end.tiff
