A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1934,200,2090,617,1853,1353,1630,981,1495,1621,5.96,3.65,8.28,-16.64,4.76,-52.45,1.44,-34.35,43_0016325_0016349-reel_begin_end.tiff
2,4895,200,5058,570,4820,1353,4597,981,1495,1621,5.83,3.65,8.25,-14.35,4.71,-52.45,1.4,-34.35,43_0016325_0016349-reel_begin_end.tiff
3,7844,200,8003,611,7749,1354,7540,979,1495,1621,5.96,3.65,8.33,-16.35,4.55,-52.5,1.44,-34.25,43_0016325_0016349-reel_begin_end.tiff
4,10787,200,10938,598,10697,1358,10480,974,1495,1621,6.01,3.65,8.25,-15.72,4.67,-52.69,1.44,-34.01,43_0016325_0016349-reel_begin_end.tiff
5,13741,367,13918,812,13680,1358,13440,975,1495,1621,5.92,-4.48,8.55,-26.13,5.01,-52.69,1.44,-34.06,43_0016325_0016349-reel_begin_end.tiff
6,16691,247,16853,737,16596,1357,16387,972,1495,1621,5.92,1.36,8.33,-22.48,4.5,-52.64,1.4,-33.91,43_0016325_0016349-reel_begin_end.tiff
7,16694,245,16850,737,16599,1356,16389,973,1495,1621,5.96,1.46,8.28,-22.48,4.55,-52.59,1.4,-33.96,43_0016325_0016349-reel_begin_end.tiff
8,19627,209,19775,823,19546,1356,19326,974,1495,1621,5.83,3.21,8.03,-26.66,4.62,-52.59,1.35,-34.01,43_0016325_0016349-reel_begin_end.tiff
9,22586,248,22746,720,22505,1358,22285,973,1495,1621,5.83,1.31,8.21,-21.65,4.62,-52.69,1.35,-33.96,43_0016325_0016349-reel_begin_end.tiff
10,25543,237,25708,746,25445,1358,25239,973,1495,1621,5.96,1.85,8.42,-22.92,4.5,-52.69,1.44,-33.96,43_0016325_0016349-reel_begin_end.tiff
11,28483,236,28639,903,28408,1355,28176,972,1495,1621,5.96,1.89,8.28,-30.55,4.85,-52.54,1.4,-33.91,43_0016325_0016349-reel_begin_end.tiff
12,31427,248,31598,947,31335,1358,31126,972,1495,1621,5.87,1.31,8.42,-32.7,4.5,-52.69,1.4,-33.91,43_0016325_0016349-reel_begin_end.tiff
13,34393,200,34552,953,34300,1356,34083,975,1495,1621,5.96,3.65,8.33,-32.99,4.58,-52.59,1.35,-34.06,43_0016325_0016349-reel_begin_end.tiff
