A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1620,583,2105,655,1481,1426,1017,1088,1504,1007,9.34,-14.98,16.5,-18.5,7.28,-56.23,0.43,-39.69,44_0007875_0007899-reel_begin_end.tiff
2,4650,595,5135,648,4470,1424,4051,1094,1504,1007,9.34,-15.56,16.5,-18.16,6.68,-56.14,0.49,-39.99,44_0007875_0007899-reel_begin_end.tiff
3,7656,581,8141,605,7497,1425,7054,1088,1504,1007,9.28,-14.88,16.44,-16.05,6.93,-56.18,0.39,-39.69,44_0007875_0007899-reel_begin_end.tiff
4,10656,584,11152,665,10504,1424,10054,1087,1504,1007,9.28,-15.03,16.6,-18.99,7.03,-56.14,0.39,-39.64,44_0007875_0007899-reel_begin_end.tiff
5,13679,595,14171,624,13520,1429,13077,1089,1504,1007,9.17,-15.56,16.44,-16.98,6.83,-56.38,0.29,-39.74,44_0007875_0007899-reel_begin_end.tiff
6,16693,583,17188,644,16544,1425,16087,1090,1504,1007,9.23,-14.98,16.54,-17.96,7.03,-56.18,0.29,-39.79,44_0007875_0007899-reel_begin_end.tiff
7,19693,587,20188,614,19537,1424,19094,1086,1504,1007,9.23,-15.17,16.54,-16.49,6.93,-56.14,0.39,-39.59,44_0007875_0007899-reel_begin_end.tiff
8,19696,585,20192,618,19537,1424,19087,1094,1504,1007,9.28,-15.07,16.6,-16.69,6.93,-56.14,0.29,-39.99,44_0007875_0007899-reel_begin_end.tiff
9,22723,594,23212,602,22564,1425,22114,1089,1504,1007,9.38,-15.51,16.6,-15.91,7.03,-56.18,0.39,-39.74,44_0007875_0007899-reel_begin_end.tiff
10,25736,594,26225,610,25580,1423,25130,1085,1504,1007,9.28,-15.51,16.5,-16.3,6.97,-56.09,0.33,-39.54,44_0007875_0007899-reel_begin_end.tiff
11,28740,573,29232,622,28587,1423,28134,1086,1504,1007,9.34,-14.49,16.6,-16.89,7.08,-56.09,0.39,-39.59,44_0007875_0007899-reel_begin_end.tiff
12,31763,598,32258,661,31618,1425,31150,1089,1504,1007,9.38,-15.71,16.69,-18.79,7.24,-56.18,0.33,-39.74,44_0007875_0007899-reel_begin_end.tiff
13,34780,589,35268,585,34610,1427,34174,1085,1504,1007,9.34,-15.27,16.54,-15.07,6.83,-56.28,0.39,-39.54,44_0007875_0007899-reel_begin_end.tiff
