A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1648,336,2046,768,1499,1423,1035,1041,1508,1024,9.59,-3.18,15.47,-24.2,7.39,-56.08,0.54,-37.49,44_0007625_0007649-reel_begin_end.tiff
2,4648,344,5039,875,4488,1423,4035,1039,1508,1024,9.59,-3.57,15.37,-29.41,7.23,-56.08,0.54,-37.39,44_0007625_0007649-reel_begin_end.tiff
3,7661,334,8080,1012,7512,1427,7044,1040,1508,1024,9.49,-3.08,15.68,-36.08,7.29,-56.28,0.38,-37.44,44_0007625_0007649-reel_begin_end.tiff
4,10688,355,11093,869,10539,1429,10068,1045,1508,1024,9.59,-4.11,15.57,-29.12,7.39,-56.37,0.44,-37.68,44_0007625_0007649-reel_begin_end.tiff
5,13691,353,14092,733,13576,1428,13078,1041,1508,1024,9.49,-4.01,15.41,-22.5,7.79,-56.32,0.44,-37.49,44_0007625_0007649-reel_begin_end.tiff
6,16701,358,17089,978,16549,1430,16088,1042,1508,1024,9.64,-4.25,15.37,-34.42,7.39,-56.42,0.59,-37.54,44_0007625_0007649-reel_begin_end.tiff
7,19724,332,20126,788,19599,1427,19108,1042,1508,1024,9.54,-2.99,15.47,-25.18,7.69,-56.28,0.44,-37.54,44_0007625_0007649-reel_begin_end.tiff
8,22741,336,23139,916,22599,1428,22128,1040,1508,1024,9.49,-3.18,15.37,-31.41,7.39,-56.32,0.44,-37.44,44_0007625_0007649-reel_begin_end.tiff
9,25741,383,26129,946,25581,1426,25128,1040,1508,1024,9.49,-5.47,15.22,-32.87,7.13,-56.23,0.44,-37.44,44_0007625_0007649-reel_begin_end.tiff
10,28764,359,29149,911,28598,1423,28148,1041,1508,1024,9.54,-4.3,15.22,-31.16,7.08,-56.08,0.44,-37.49,44_0007625_0007649-reel_begin_end.tiff
11,31784,318,32151,828,31621,1424,31168,1039,1508,1024,9.54,-2.3,14.95,-27.12,7.13,-56.13,0.44,-37.39,44_0007625_0007649-reel_begin_end.tiff
12,34784,351,35158,939,34614,1424,34168,1040,1508,1024,9.54,-3.91,15.06,-32.53,7.03,-56.13,0.44,-37.44,44_0007625_0007649-reel_begin_end.tiff
