A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1609,339,2020,754,1468,1422,1021,1039,1500,1017,9.17,-3.77,15.24,-23.8,7.09,-56.03,0.49,-37.55,138,44_0007525_0007549-reel_begin_end,1120,-78.877304,174.840103
2,4635,358,5033,750,4515,1430,4047,1040,1500,1017,9.11,-4.69,14.99,-23.6,7.34,-56.41,0.43,-37.6,138,44_0007525_0007549-reel_begin_end,1121,-78.873093,174.748199
3,7631,364,8033,753,7494,1425,7047,1037,1500,1017,9.05,-4.98,14.99,-23.75,7.03,-56.17,0.43,-37.45,138,44_0007525_0007549-reel_begin_end,1122,-78.867493,174.645294
4,10649,363,11027,821,10508,1427,10061,1038,1500,1017,9.17,-4.93,14.75,-27.03,7.09,-56.27,0.49,-37.5,138,44_0007525_0007549-reel_begin_end,1123,-78.861893,174.542404
5,13673,348,14100,889,13557,1432,13085,1040,1500,1017,9.23,-4.21,15.54,-30.31,7.52,-56.51,0.55,-37.6,138,44_0007525_0007549-reel_begin_end,1124,-78.857605,174.438202
6,16679,306,17231,1178,16534,1430,16087,1044,1500,1017,9.17,-2.18,17.33,-44.25,7.03,-56.41,0.43,-37.79,138,44_0007525_0007549-reel_begin_end,1125,-78.850601,174.327194
7,19693,317,19967,1022,19594,1433,19101,1040,1500,1017,9.23,-2.71,13.28,-36.73,7.77,-56.56,0.49,-37.6,138,44_0007525_0007549-reel_begin_end,1126,-78.845001,174.225601
8,22719,329,23179,962,22558,1428,22131,1039,1500,1017,9.17,-3.29,15.97,-33.83,6.79,-56.32,0.49,-37.55,138,44_0007525_0007549-reel_begin_end,1127,-78.8367,174.124207
9,25726,372,26161,607,25610,1429,25138,1040,1500,1017,9.11,-5.36,15.54,-16.7,7.4,-56.37,0.43,-37.6,138,44_0007525_0007549-reel_begin_end,1128,-78.832504,174.025406
10,28730,354,29170,650,28565,1424,28146,1038,1500,1017,9.17,-4.5,15.67,-18.78,6.73,-56.12,0.55,-37.5,138,44_0007525_0007549-reel_begin_end,1129,-78.8255,173.928101
11,31704,350,32102,927,31572,1429,31108,1040,1500,1017,9.23,-4.3,15.11,-32.14,7.28,-56.37,0.43,-37.6,138,44_0007525_0007549-reel_begin_end,1130,-78.819901,173.821106
12,34710,369,35141,919,34553,1427,34118,1039,1500,1017,9.17,-5.22,15.54,-31.76,6.85,-56.27,0.43,-37.55,138,44_0007525_0007549-reel_begin_end,1131,-78.811493,173.714096
1,3128,363,3468,1102,2988,1427,2536,1041,1504,2532,9.13,-5.26,14.12,-40.68,7.07,-56.26,0.44,-37.76,138,44_0007550_0007574-reel_begin_end,1107,-78.943298,176.169601
2,6130,302,6507,1001,6006,1422,5546,1036,1504,2532,9.01,-2.34,14.54,-35.84,7.19,-56.02,0.44,-37.52,138,44_0007550_0007574-reel_begin_end,1108,-78.939102,176.065308
3,9143,328,9561,1037,9006,1425,8554,1036,1504,2532,9.2,-3.58,15.33,-37.57,7.19,-56.17,0.56,-37.52,138,44_0007550_0007574-reel_begin_end,1109,-78.934799,175.972
4,12166,337,12539,1038,12025,1425,11582,1037,1504,2532,8.95,-4.01,14.42,-37.62,6.88,-56.17,0.38,-37.57,138,44_0007550_0007574-reel_begin_end,1110,-78.930603,175.867706
