A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1909,300,2729,696,1493,1430,1019,1053,1497,1012,13.62,-2.02,25.66,-21.08,7.52,-56.41,0.56,-38.26,44_0008125_0008149-reel_begin_end.tiff
2,4915,300,5733,657,4510,1427,4032,1052,1497,1012,13.57,-2.02,25.58,-19.2,7.62,-56.26,0.6,-38.21,44_0008125_0008149-reel_begin_end.tiff
3,7949,300,8728,609,7523,1427,7055,1051,1497,1012,13.62,-2.02,25.06,-16.89,7.37,-56.26,0.5,-38.17,44_0008125_0008149-reel_begin_end.tiff
4,10956,300,11742,671,10526,1428,10066,1050,1497,1012,13.73,-2.02,25.27,-19.88,7.41,-56.31,0.66,-38.12,44_0008125_0008149-reel_begin_end.tiff
5,13959,300,14714,749,13550,1431,13069,1052,1497,1012,13.62,-2.02,24.71,-23.63,7.62,-56.45,0.56,-38.21,44_0008125_0008149-reel_begin_end.tiff
6,16986,300,17751,806,16553,1429,16092,1052,1497,1012,13.73,-2.02,24.96,-26.38,7.37,-56.36,0.6,-38.21,44_0008125_0008149-reel_begin_end.tiff
7,19999,300,20747,786,19580,1430,19109,1056,1497,1012,13.62,-2.02,24.61,-25.41,7.47,-56.41,0.56,-38.41,44_0008125_0008149-reel_begin_end.tiff
8,23006,306,23740,750,22566,1433,22109,1053,1497,1012,13.73,-2.31,24.5,-23.68,7.27,-56.55,0.56,-38.26,44_0008125_0008149-reel_begin_end.tiff
9,26022,300,26763,782,25586,1426,25125,1052,1497,1012,13.67,-2.02,24.55,-25.22,7.27,-56.21,0.5,-38.21,44_0008125_0008149-reel_begin_end.tiff
10,29035,312,29763,760,28640,1426,28142,1052,1497,1012,13.57,-2.6,24.25,-24.16,7.77,-56.21,0.45,-38.21,44_0008125_0008149-reel_begin_end.tiff
11,32039,325,32769,783,31620,1429,31145,1051,1497,1012,13.62,-3.23,24.34,-25.27,7.47,-56.36,0.5,-38.17,44_0008125_0008149-reel_begin_end.tiff
12,35056,300,35766,753,34612,1431,34162,1050,1497,1012,13.73,-2.02,24.15,-23.82,7.21,-56.45,0.6,-38.12,44_0008125_0008149-reel_begin_end.tiff
