A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3151,330,3556,901,2985,1422,2538,1041,1504,2528,9.55,-3.01,15.49,-30.65,7.11,-55.86,0.55,-37.42,44_0007650_0007674-reel_begin_end.tiff
2,6158,351,6560,653,6013,1426,5545,1041,1504,2528,9.65,-4.03,15.55,-18.64,7.52,-56.05,0.65,-37.42,44_0007650_0007674-reel_begin_end.tiff
3,9178,378,9590,830,9018,1425,8568,1041,1504,2528,9.5,-5.34,15.55,-27.21,7.16,-56.0,0.55,-37.42,44_0007650_0007674-reel_begin_end.tiff
4,12191,340,12624,475,12038,1426,11585,1041,1504,2528,9.4,-3.5,15.76,-10.03,7.16,-56.05,0.5,-37.42,44_0007650_0007674-reel_begin_end.tiff
5,15191,316,15610,874,15063,1427,14585,1041,1504,2528,9.4,-2.33,15.55,-29.34,7.52,-56.1,0.5,-37.42,44_0007650_0007674-reel_begin_end.tiff
6,18218,329,18644,606,18086,1425,17601,1042,1504,2528,9.5,-2.96,15.76,-16.37,7.57,-56.0,0.45,-37.47,44_0007650_0007674-reel_begin_end.tiff
7,21241,367,21833,1236,21110,1429,20621,1041,1504,2528,9.55,-4.8,18.24,-46.86,7.63,-56.2,0.45,-37.42,44_0007650_0007674-reel_begin_end.tiff
8,24238,363,24594,1004,24096,1426,23621,1041,1504,2528,9.5,-4.61,14.73,-35.63,7.42,-56.05,0.45,-37.42,44_0007650_0007674-reel_begin_end.tiff
9,27261,347,27736,1080,27130,1426,26641,1042,1504,2528,9.55,-3.84,16.52,-39.31,7.63,-56.05,0.45,-37.47,44_0007650_0007674-reel_begin_end.tiff
10,30278,342,30451,941,30129,1426,29665,1040,1504,2528,9.5,-3.59,12.04,-32.58,7.32,-56.05,0.5,-37.37,44_0007650_0007674-reel_begin_end.tiff
11,33281,332,33766,1003,33125,1428,32668,1041,1504,2528,9.55,-3.11,16.67,-35.58,7.26,-56.15,0.55,-37.42,44_0007650_0007674-reel_begin_end.tiff
12,36298,324,36727,507,36145,1427,35681,1041,1504,2528,9.5,-2.72,15.8,-11.58,7.26,-56.1,0.45,-37.42,44_0007650_0007674-reel_begin_end.tiff
