A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1154,660,1479,1074,889,1404,254,1231,1492,254,13.26,-19.09,18.05,-39.2,9.35,-55.22,-0.0,-46.82,40_0015150_0015174-reel_begin_end.tiff
2,4164,658,4489,1045,3778,1403,3260,1229,1492,254,13.26,-19.0,18.05,-37.79,7.57,-55.17,-0.06,-46.72,40_0015150_0015174-reel_begin_end.tiff
3,7127,647,7452,1046,6734,1402,6224,1228,1492,254,13.3,-18.46,18.09,-37.84,7.51,-55.12,-0.0,-46.67,40_0015150_0015174-reel_begin_end.tiff
4,10144,643,10487,1056,9748,1405,9248,1229,1492,254,13.2,-18.27,18.25,-38.32,7.36,-55.27,-0.0,-46.72,40_0015150_0015174-reel_begin_end.tiff
5,13158,644,13494,1138,12772,1406,12261,1231,1492,254,13.26,-18.32,18.21,-42.3,7.57,-55.32,0.04,-46.82,40_0015150_0015174-reel_begin_end.tiff
6,16172,660,16508,1033,15776,1406,15254,1233,1492,254,13.47,-19.09,18.42,-37.2,7.63,-55.32,-0.06,-46.92,40_0015150_0015174-reel_begin_end.tiff
7,19201,642,19541,1105,18966,1403,18298,1227,1492,254,13.3,-18.22,18.31,-40.7,9.84,-55.17,-0.0,-46.62,40_0015150_0015174-reel_begin_end.tiff
8,22181,638,22524,1084,21796,1403,21281,1228,1492,254,13.3,-18.03,18.36,-39.68,7.63,-55.17,0.04,-46.67,40_0015150_0015174-reel_begin_end.tiff
9,25178,679,25535,1068,24963,1404,24278,1230,1492,254,13.26,-20.02,18.52,-38.9,10.09,-55.22,-0.0,-46.77,40_0015150_0015174-reel_begin_end.tiff
10,28198,655,28566,882,27819,1406,27298,1229,1492,254,13.26,-18.85,18.68,-29.87,7.67,-55.32,-0.0,-46.72,40_0015150_0015174-reel_begin_end.tiff
11,31218,650,31940,1221,30815,1403,30315,1228,1492,254,13.41,-18.61,24.05,-46.33,7.47,-55.17,0.1,-46.67,40_0015150_0015174-reel_begin_end.tiff
12,34214,641,34582,735,34082,1404,33314,1227,1492,254,13.2,-18.17,18.62,-22.74,11.25,-55.22,-0.06,-46.62,40_0015150_0015174-reel_begin_end.tiff
