A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3710,634,4060,752,3310,1407,2817,1230,1495,2817,13.03,-17.13,18.1,-22.99,7.23,-55.55,0.09,-46.75,40_0015225_0015249-reel_begin_end.tiff
2,6650,637,7000,906,6264,1405,5757,1228,1495,2817,13.03,-17.28,18.1,-30.65,7.44,-55.45,0.09,-46.65,40_0015225_0015249-reel_begin_end.tiff
3,9607,648,,,9217,1404,8714,1228,1495,2817,12.98,-17.82,,,7.33,-55.4,0.05,-46.65,40_0015225_0015249-reel_begin_end.tiff
4,12620,649,12981,860,12220,1405,11727,1229,1495,2817,13.03,-17.87,18.25,-28.36,7.23,-55.45,0.09,-46.7,40_0015225_0015249-reel_begin_end.tiff
5,15555,659,15908,952,15158,1403,14662,1228,1495,2817,12.98,-18.37,18.1,-32.93,7.23,-55.35,0.05,-46.65,40_0015225_0015249-reel_begin_end.tiff
6,18514,646,18871,737,18121,1406,17621,1230,1495,2817,13.03,-17.73,18.2,-22.25,7.33,-55.5,0.09,-46.75,40_0015225_0015249-reel_begin_end.tiff
7,21461,645,21821,999,21071,1407,20568,1232,1495,2817,12.98,-17.68,18.2,-35.27,7.33,-55.55,0.05,-46.85,40_0015225_0015249-reel_begin_end.tiff
8,24394,707,24748,1046,23958,1407,23501,1230,1495,2817,13.03,-20.76,18.15,-37.61,6.71,-55.55,0.09,-46.75,40_0015225_0015249-reel_begin_end.tiff
9,27418,619,27786,859,27039,1407,26525,1233,1495,2817,13.08,-16.38,18.41,-28.31,7.6,-55.55,0.15,-46.9,40_0015225_0015249-reel_begin_end.tiff
10,30371,663,30700,1142,29985,1405,29475,1231,1495,2817,13.13,-18.57,17.89,-42.38,7.54,-55.45,0.15,-46.8,40_0015225_0015249-reel_begin_end.tiff
