A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3764,640,4200,813,3403,1407,2896,1237,1488,2889,12.83,-17.02,19.26,-25.68,7.51,-55.38,0.04,-46.88,40_0015475_0015499-reel_begin_end.tiff
2,6770,661,7206,810,6403,1407,5903,1238,1488,2889,12.77,-18.08,19.2,-25.52,7.36,-55.38,-0.0,-46.92,40_0015475_0015499-reel_begin_end.tiff
3,9784,670,10216,727,9420,1408,8913,1239,1488,2889,12.83,-18.52,19.2,-21.38,7.47,-55.42,-0.0,-46.98,40_0015475_0015499-reel_begin_end.tiff
4,12810,675,13246,855,12446,1408,11939,1239,1488,2889,12.77,-18.77,19.2,-27.78,7.41,-55.42,-0.06,-46.98,40_0015475_0015499-reel_begin_end.tiff
5,15824,664,16260,732,15463,1406,14953,1237,1488,2889,12.83,-18.23,19.26,-21.62,7.51,-55.32,-0.0,-46.88,40_0015475_0015499-reel_begin_end.tiff
6,18827,667,19263,877,18470,1410,17955,1242,1488,2889,12.73,-18.38,19.15,-28.88,7.47,-55.52,-0.12,-47.12,40_0015475_0015499-reel_begin_end.tiff
7,21850,667,22283,861,21508,1410,20983,1239,1488,2889,12.77,-18.38,19.15,-28.08,7.73,-55.52,-0.0,-46.98,40_0015475_0015499-reel_begin_end.tiff
8,24870,648,25303,912,24506,1405,24003,1236,1488,2889,12.77,-17.42,19.15,-30.62,7.41,-55.28,-0.0,-46.82,40_0015475_0015499-reel_begin_end.tiff
9,27874,671,28303,856,27520,1409,27003,1239,1488,2889,12.83,-18.58,19.15,-27.82,7.61,-55.48,-0.0,-46.98,40_0015475_0015499-reel_begin_end.tiff
10,30897,682,31325,830,30529,1405,30025,1237,1488,2889,12.73,-19.12,19.04,-26.52,7.31,-55.28,-0.12,-46.88,40_0015475_0015499-reel_begin_end.tiff
11,33920,661,34349,887,33563,1407,33049,1237,1488,2889,12.77,-18.08,19.09,-29.38,7.51,-55.38,-0.06,-46.88,40_0015475_0015499-reel_begin_end.tiff
12,36926,659,37351,870,36558,1413,36054,1241,1488,2889,14.2,-17.98,20.47,-28.52,8.78,-55.68,1.35,-47.08,40_0015475_0015499-reel_begin_end.tiff
