A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1146,628,1471,1120,960,1406,246,1231,1495,246,13.19,-17.76,17.95,-41.51,10.47,-55.31,0.01,-46.87,40_0015100_0015124-reel_begin_end.tiff
2,4166,642,4520,1173,3773,1408,3263,1233,1495,246,13.19,-18.43,18.38,-44.07,7.44,-55.41,-0.04,-46.96,40_0015100_0015124-reel_begin_end.tiff
3,7170,657,7677,1297,6788,1404,6266,1227,1495,246,13.25,-19.16,20.68,-50.05,7.65,-55.22,0.01,-46.67,40_0015100_0015124-reel_begin_end.tiff
4,10186,649,10515,1219,9793,1406,9286,1228,1495,246,13.19,-18.77,18.01,-46.29,7.44,-55.31,0.01,-46.72,40_0015100_0015124-reel_begin_end.tiff
5,13213,642,,,12810,1405,12317,1235,1495,246,13.3,-18.43,,,7.39,-55.27,0.17,-47.06,40_0015100_0015124-reel_begin_end.tiff
6,16206,601,,,15817,1406,15306,1228,1495,246,13.19,-16.45,,,7.49,-55.31,0.01,-46.72,40_0015100_0015124-reel_begin_end.tiff
7,19216,664,19541,1159,18980,1403,18316,1226,1495,246,13.19,-19.49,17.95,-43.39,9.74,-55.17,0.01,-46.62,40_0015100_0015124-reel_begin_end.tiff
8,22166,475,,,21777,1405,21270,1061,1495,246,13.19,-10.37,,,7.49,-55.27,0.07,-38.66,40_0015100_0015124-reel_begin_end.tiff
9,25165,485,25540,896,24797,1407,24265,1061,1495,246,13.3,-10.85,18.79,-30.69,7.9,-55.36,0.11,-38.66,40_0015100_0015124-reel_begin_end.tiff
10,28175,441,28543,698,27790,1407,27272,1063,1495,246,13.3,-8.73,18.69,-21.13,7.65,-55.36,0.07,-38.76,40_0015100_0015124-reel_begin_end.tiff
11,31192,451,31556,792,30842,1405,30288,1061,1495,246,13.25,-9.21,18.58,-25.67,8.12,-55.27,0.01,-38.66,40_0015100_0015124-reel_begin_end.tiff
12,34198,451,34552,958,33820,1408,33295,1063,1495,246,13.19,-9.21,18.38,-33.69,7.65,-55.41,-0.04,-38.76,40_0015100_0015124-reel_begin_end.tiff
