A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,2656.0,639.0,2996.0,1066.0,2256,1406,1738,1224,1492,1742,13.34,-17.78,18.29,-38.87,7.52,-55.67,-0.03,-46.68,107,40_0014925_0014949-reel_begin_end,676,-77.985107,167.759903
2,5673.0,634.0,6012.0,1073.0,5451,1407,4762,1222,1492,1742,13.3,-17.53,18.24,-39.22,10.06,-55.72,0.03,-46.58,107,40_0014925_0014949-reel_begin_end,677,-77.978897,167.666504
3,8690.0,651.0,9022.0,936.0,8325,1406,7776,1220,1492,1742,13.4,-18.37,18.24,-32.45,8.08,-55.67,0.09,-46.48,107,40_0014925_0014949-reel_begin_end,678,-77.972702,167.574493
4,11665.0,664.0,12001.0,941.0,11483,1403,10772,1219,1492,1742,13.04,-19.01,17.93,-32.7,10.39,-55.53,0.03,-46.43,107,40_0014925_0014949-reel_begin_end,679,-77.965195,167.482498
5,14611.0,648.0,15240.0,1110.0,14265,1404,13768,1243,1492,1742,12.25,-18.22,21.41,-41.05,7.21,-55.58,-0.03,-47.62,107,40_0014925_0014949-reel_begin_end,680,-77.956207,167.386307
6,17569.0,619.0,17876.0,1047.0,17198,1408,16812,1222,1492,1742,11.06,-16.79,15.53,-37.94,5.65,-55.77,0.03,-46.58,107,40_0014925_0014949-reel_begin_end,681,-77.9487,167.2957
7,20423.0,576.0,20669.0,866.0,20351,1406,19758,1221,1492,1742,9.66,-14.66,13.24,-28.99,8.61,-55.67,-0.03,-46.53,107,40_0014925_0014949-reel_begin_end,682,-77.940399,167.209198
8,23288.0,551.0,23423.0,779.0,23130,1389,22706,1219,1492,1742,8.56,-13.43,10.53,-24.69,6.26,-54.83,0.09,-46.43,107,40_0014925_0014949-reel_begin_end,683,-77.931503,167.123993
9,26167.0,513.0,26434.0,951.0,26109,1385,25663,1217,1492,1742,7.47,-11.55,11.36,-33.19,6.63,-54.64,0.13,-46.34,107,40_0014925_0014949-reel_begin_end,684,-77.923294,167.037506
10,29088.0,533.0,29338.0,1001.0,29010,1386,28613,1219,1492,1742,6.89,-12.54,10.53,-35.66,5.75,-54.69,-0.03,-46.43,107,40_0014925_0014949-reel_begin_end,685,-77.916397,166.952393
11,31995.0,531.0,32209.0,928.0,31920,1408,31563,1221,1492,1742,6.32,-12.44,9.44,-32.06,5.23,-55.77,0.03,-46.53,107,40_0014925_0014949-reel_begin_end,686,-77.911606,166.864502
