A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2656,639,2996,1066,2256,1406,1738,1224,1492,1742,13.34,-17.78,18.29,-38.87,7.52,-55.67,-0.03,-46.68,40_0014925_0014949-reel_begin_end.tiff
2,5673,634,6012,1073,5451,1407,4762,1222,1492,1742,13.3,-17.53,18.24,-39.22,10.06,-55.72,0.03,-46.58,40_0014925_0014949-reel_begin_end.tiff
3,8690,651,9022,936,8325,1406,7776,1220,1492,1742,13.4,-18.37,18.24,-32.45,8.08,-55.67,0.09,-46.48,40_0014925_0014949-reel_begin_end.tiff
4,11665,664,12001,941,11483,1403,10772,1219,1492,1742,13.04,-19.01,17.93,-32.7,10.39,-55.53,0.03,-46.43,40_0014925_0014949-reel_begin_end.tiff
5,14611,648,15240,1110,14265,1404,13768,1243,1492,1742,12.25,-18.22,21.41,-41.05,7.21,-55.58,-0.03,-47.62,40_0014925_0014949-reel_begin_end.tiff
6,17569,619,17876,1047,17198,1408,16812,1222,1492,1742,11.06,-16.79,15.53,-37.94,5.65,-55.77,0.03,-46.58,40_0014925_0014949-reel_begin_end.tiff
7,20423,576,20669,866,20351,1406,19758,1221,1492,1742,9.66,-14.66,13.24,-28.99,8.61,-55.67,-0.03,-46.53,40_0014925_0014949-reel_begin_end.tiff
8,23288,551,23423,779,23130,1389,22706,1219,1492,1742,8.56,-13.43,10.53,-24.69,6.26,-54.83,0.09,-46.43,40_0014925_0014949-reel_begin_end.tiff
9,26167,513,26434,951,26109,1385,25663,1217,1492,1742,7.47,-11.55,11.36,-33.19,6.63,-54.64,0.13,-46.34,40_0014925_0014949-reel_begin_end.tiff
10,29088,533,29338,1001,29010,1386,28613,1219,1492,1742,6.89,-12.54,10.53,-35.66,5.75,-54.69,-0.03,-46.43,40_0014925_0014949-reel_begin_end.tiff
11,31995,531,32209,928,31920,1408,31563,1221,1492,1742,6.32,-12.44,9.44,-32.06,5.23,-55.77,0.03,-46.53,40_0014925_0014949-reel_begin_end.tiff
12,34926,512,35112,866,34794,1409,34527,1221,1492,1742,5.9,-11.5,8.61,-28.99,3.98,-55.82,0.09,-46.53,40_0014925_0014949-reel_begin_end.tiff
