A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1589,480,2293,683,1143,1408,654,1069,1488,647,14.03,-10.01,24.34,-19.98,7.49,-55.59,0.33,-38.94,40_0015675_0015699-reel_begin_end.tiff
2,4589,473,5300,710,4139,1404,3654,1067,1488,647,14.03,-9.66,24.45,-21.31,7.44,-55.4,0.33,-38.84,40_0015675_0015699-reel_begin_end.tiff
3,7616,468,8334,640,7169,1407,6677,1069,1488,647,13.98,-9.42,24.5,-17.87,7.44,-55.54,0.23,-38.94,40_0015675_0015699-reel_begin_end.tiff
4,10636,476,11372,931,10196,1405,9697,1068,1488,647,13.98,-9.81,24.77,-32.16,7.54,-55.45,0.23,-38.89,40_0015675_0015699-reel_begin_end.tiff
5,13636,475,14375,650,13382,1405,12700,1069,1488,647,13.98,-9.76,24.81,-18.36,10.26,-55.45,0.27,-38.94,40_0015675_0015699-reel_begin_end.tiff
6,16659,465,17395,679,16220,1407,15720,1070,1488,647,14.03,-9.27,24.81,-19.78,7.6,-55.54,0.27,-38.99,40_0015675_0015699-reel_begin_end.tiff
7,19686,459,20418,799,19214,1407,18747,1069,1488,647,13.98,-8.98,24.71,-25.68,7.07,-55.54,0.23,-38.94,40_0015675_0015699-reel_begin_end.tiff
8,22686,458,23422,751,22457,1405,21750,1068,1488,647,13.98,-8.93,24.77,-23.32,10.63,-55.45,0.27,-38.89,40_0015675_0015699-reel_begin_end.tiff
9,25700,459,26436,910,25261,1406,24768,1069,1488,647,14.03,-8.98,24.81,-31.13,7.6,-55.49,0.37,-38.94,40_0015675_0015699-reel_begin_end.tiff
10,28727,480,29463,912,28298,1409,27795,1071,1488,647,13.98,-10.01,24.77,-31.23,7.7,-55.64,0.33,-39.04,40_0015675_0015699-reel_begin_end.tiff
11,31737,458,32473,836,31294,1406,30801,1069,1488,647,13.98,-8.93,24.77,-27.49,7.49,-55.49,0.27,-38.94,40_0015675_0015699-reel_begin_end.tiff
12,34747,488,35475,807,34318,1408,33811,1069,1488,647,13.98,-10.4,24.65,-26.07,7.7,-55.59,0.27,-38.94,40_0015675_0015699-reel_begin_end.tiff
