A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2769,488,3634,820,2586,1524,2154,1139,1601,2142,9.6,-6.67,22.24,-22.64,6.92,-56.52,0.61,-37.99,44_0007975_0007999-reel_begin_end.tiff
2,5809,460,6674,830,5626,1526,5182,1154,1601,2142,9.6,-5.32,22.24,-23.12,6.92,-56.62,0.43,-38.72,44_0007975_0007999-reel_begin_end.tiff
3,8811,535,9688,814,8605,1523,8200,1140,1601,2142,9.48,-8.93,22.3,-22.35,6.47,-56.47,0.55,-38.04,44_0007975_0007999-reel_begin_end.tiff
4,11825,489,12686,834,11677,1529,11210,1141,1601,2142,9.54,-6.71,22.13,-23.32,7.37,-56.76,0.55,-38.09,44_0007975_0007999-reel_begin_end.tiff
5,14855,488,15728,825,14664,1525,14240,1143,1601,2142,9.54,-6.67,22.3,-22.88,6.75,-56.57,0.55,-38.19,44_0007975_0007999-reel_begin_end.tiff
6,17879,470,18740,853,17681,1525,17260,1142,1601,2142,9.6,-5.8,22.18,-24.23,6.7,-56.57,0.55,-38.14,44_0007975_0007999-reel_begin_end.tiff
7,20885,451,21754,845,20702,1523,20274,1143,1601,2142,9.54,-4.88,22.24,-23.85,6.86,-56.47,0.61,-38.19,44_0007975_0007999-reel_begin_end.tiff
8,23919,476,24788,846,23717,1524,23296,1143,1601,2142,9.6,-6.09,22.3,-23.89,6.64,-56.52,0.49,-38.19,44_0007975_0007999-reel_begin_end.tiff
9,26933,483,27806,822,26758,1527,26318,1144,1601,2142,9.65,-6.42,22.42,-22.74,7.1,-56.67,0.66,-38.24,44_0007975_0007999-reel_begin_end.tiff
10,29943,469,30808,850,29752,1527,29324,1143,1601,2142,9.65,-5.75,22.3,-24.09,6.86,-56.67,0.61,-38.19,44_0007975_0007999-reel_begin_end.tiff
11,32969,462,33842,877,32794,1525,32354,1142,1601,2142,9.6,-5.41,22.36,-25.39,7.04,-56.57,0.61,-38.14,44_0007975_0007999-reel_begin_end.tiff
