A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1258,502,2135,871,1071,1526,651,1144,1597,639,9.58,-6.62,22.48,-24.72,6.83,-56.84,0.65,-38.11,44_0008000_0008024-reel_begin_end.tiff
2,4282,446,5151,843,4142,1530,3659,1150,1597,639,9.64,-3.87,22.42,-23.34,7.58,-57.04,0.47,-38.4,44_0008000_0008024-reel_begin_end.tiff
3,7320,487,8181,823,7121,1527,6697,1144,1597,639,9.75,-5.88,22.42,-22.36,6.83,-56.89,0.59,-38.11,44_0008000_0008024-reel_begin_end.tiff
4,10316,486,11197,815,10172,1527,9705,1142,1597,639,9.7,-5.83,22.66,-21.97,7.58,-56.89,0.71,-38.01,44_0008000_0008024-reel_begin_end.tiff
5,13342,488,14211,832,13167,1525,12719,1149,1597,639,9.64,-5.93,22.42,-22.8,7.06,-56.79,0.47,-38.35,44_0008000_0008024-reel_begin_end.tiff
6,16376,486,17241,847,16197,1526,15761,1142,1597,639,9.7,-5.83,22.42,-23.54,7.06,-56.84,0.65,-38.01,44_0008000_0008024-reel_begin_end.tiff
7,19390,488,20259,875,19191,1525,18767,1141,1597,639,9.75,-5.93,22.54,-24.91,6.83,-56.79,0.59,-37.96,44_0008000_0008024-reel_begin_end.tiff
8,22396,489,23273,793,22225,1527,21781,1142,1597,639,9.7,-5.98,22.6,-20.89,7.18,-56.89,0.65,-38.01,44_0008000_0008024-reel_begin_end.tiff
9,25428,491,26313,897,25261,1525,24813,1142,1597,639,9.58,-6.08,22.6,-25.99,7.12,-56.79,0.53,-38.01,44_0008000_0008024-reel_begin_end.tiff
10,28450,483,29327,898,28302,1529,27827,1143,1597,639,9.75,-5.69,22.66,-26.04,7.58,-56.99,0.59,-38.06,44_0008000_0008024-reel_begin_end.tiff
11,31456,458,32348,1025,31339,1526,30837,1141,1597,639,9.7,-4.46,22.82,-32.27,7.97,-56.84,0.59,-37.96,44_0008000_0008024-reel_begin_end.tiff
