A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2305,534,,,2188,1443,1773,1121,1502,1775,8.34,-11.92,,,6.63,-56.34,0.57,-40.61,44_0001025_0001049-reel_begin_end.tiff
2,5338,539,,,5210,1445,4806,1123,1502,1775,8.38,-12.16,,,6.51,-56.44,0.62,-40.7,44_0001025_0001049-reel_begin_end.tiff
3,8358,551,,,8244,1445,7823,1121,1502,1775,8.38,-12.75,,,6.72,-56.44,0.57,-40.61,44_0001025_0001049-reel_begin_end.tiff
4,11366,565,,,11230,1444,10829,1120,1502,1775,8.5,-13.43,,,6.51,-56.39,0.66,-40.56,44_0001025_0001049-reel_begin_end.tiff
5,14388,625,,,14268,1444,13848,1124,1502,1775,8.38,-16.37,,,6.63,-56.39,0.5,-40.75,44_0001025_0001049-reel_begin_end.tiff
6,17413,600,,,17302,1444,16879,1118,1502,1775,8.45,-15.14,,,6.83,-56.39,0.66,-40.46,44_0001025_0001049-reel_begin_end.tiff
7,20423,540,,,20323,1442,19880,1116,1502,1775,8.45,-12.21,,,6.99,-56.29,0.53,-40.36,44_0001025_0001049-reel_begin_end.tiff
8,23443,564,,,23321,1447,22906,1118,1502,1775,8.45,-13.38,,,6.67,-56.54,0.62,-40.46,44_0001025_0001049-reel_begin_end.tiff
9,26470,518,,,26348,1444,25930,1123,1502,1775,8.41,-11.14,,,6.63,-56.39,0.53,-40.7,44_0001025_0001049-reel_begin_end.tiff
10,29472,564,,,29364,1446,28940,1121,1502,1775,8.29,-13.38,,,6.72,-56.49,0.53,-40.61,44_0001025_0001049-reel_begin_end.tiff
11,32490,594,,,32388,1443,31953,1123,1502,1775,8.41,-14.85,,,6.92,-56.34,0.57,-40.7,44_0001025_0001049-reel_begin_end.tiff
12,35469,538,,,35361,1442,34940,1119,1502,1775,8.25,-12.11,,,6.67,-56.29,0.53,-40.51,44_0001025_0001049-reel_begin_end.tiff
