A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3821,552,4282,781,3744,1454,3289,1152,1516,3291,8.36,-13.06,15.06,-24.26,7.24,-57.15,0.62,-42.39,44_0001300_0001324-reel_begin_end.tiff
2,6771,551,7273,1004,6686,1454,6236,1154,1516,3291,8.36,-13.02,15.65,-35.15,7.12,-57.15,0.58,-42.49,44_0001300_0001324-reel_begin_end.tiff
3,9803,539,10264,733,9694,1451,9271,1148,1516,3291,8.39,-12.43,15.08,-21.91,6.8,-57.0,0.65,-42.19,44_0001300_0001324-reel_begin_end.tiff
4,12743,570,13204,852,12634,1450,12206,1151,1516,3291,8.39,-13.94,15.08,-27.73,6.8,-56.95,0.58,-42.34,44_0001300_0001324-reel_begin_end.tiff
5,15688,541,16149,796,15576,1451,15156,1149,1516,3291,8.31,-12.53,15.01,-24.99,6.68,-57.0,0.58,-42.24,44_0001300_0001324-reel_begin_end.tiff
6,18651,554,19120,906,18544,1456,18116,1150,1516,3291,8.36,-13.16,15.17,-30.36,6.8,-57.24,0.58,-42.29,44_0001300_0001324-reel_begin_end.tiff
7,21661,543,22127,839,21541,1455,21126,1153,1516,3291,8.36,-12.62,15.13,-27.09,6.61,-57.2,0.58,-42.44,44_0001300_0001324-reel_begin_end.tiff
8,24603,539,,,24511,1451,24071,1148,1516,3291,8.39,-12.43,,,7.05,-57.0,0.65,-42.19,44_0001300_0001324-reel_begin_end.tiff
9,27563,547,28022,972,27441,1453,27029,1149,1516,3291,8.39,-12.82,15.06,-33.59,6.61,-57.1,0.62,-42.24,44_0001300_0001324-reel_begin_end.tiff
10,30508,577,30980,1103,30396,1453,29976,1151,1516,3291,8.31,-14.29,15.17,-39.99,6.68,-57.1,0.58,-42.34,44_0001300_0001324-reel_begin_end.tiff
11,33451,568,33914,796,33347,1452,32911,1160,1516,3291,8.36,-13.85,15.08,-24.99,6.84,-57.05,0.51,-42.78,44_0001300_0001324-reel_begin_end.tiff
