A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3826,406,4375,573,3720,1449,3300,1074,1505,3296,8.24,-5.8,16.29,-13.96,6.68,-56.77,0.52,-38.44,44_0001150_0001174-reel_begin_end.tiff
2,6833,364,7385,664,6738,1450,6307,1075,1505,3296,8.19,-3.74,16.29,-18.4,6.8,-56.82,0.48,-38.49,44_0001150_0001174-reel_begin_end.tiff
3,9849,356,10400,587,9742,1449,9314,1080,1505,3296,8.28,-3.35,16.36,-14.64,6.71,-56.77,0.44,-38.74,44_0001150_0001174-reel_begin_end.tiff
4,12886,487,13456,919,12772,1454,12349,1078,1505,3296,8.24,-9.75,16.59,-30.87,6.57,-57.01,0.36,-38.64,44_0001150_0001174-reel_begin_end.tiff
5,15893,397,16453,637,15809,1447,15370,1072,1505,3296,8.19,-5.36,16.4,-17.08,6.96,-56.67,0.52,-38.34,44_0001150_0001174-reel_begin_end.tiff
6,18903,361,19471,844,18783,1451,18371,1075,1505,3296,8.19,-3.6,16.52,-27.2,6.43,-56.87,0.39,-38.49,44_0001150_0001174-reel_begin_end.tiff
7,21936,381,22493,775,21838,1451,21401,1076,1505,3296,8.24,-4.57,16.4,-23.83,6.8,-56.87,0.39,-38.54,44_0001150_0001174-reel_begin_end.tiff
8,24952,392,25527,933,24832,1450,24414,1083,1505,3296,8.32,-5.11,16.76,-31.55,6.57,-56.82,0.44,-38.88,44_0001150_0001174-reel_begin_end.tiff
9,27962,376,,,27847,1450,27421,1090,1505,3296,8.32,-4.33,,,6.64,-56.82,0.39,-39.22,44_0001150_0001174-reel_begin_end.tiff
10,30983,407,31286,929,30880,1447,30454,1072,1505,3296,8.19,-5.84,12.64,-31.36,6.68,-56.67,0.44,-38.34,44_0001150_0001174-reel_begin_end.tiff
11,34006,395,,,33897,1450,33474,1075,1505,3296,8.24,-5.26,,,6.64,-56.82,0.44,-38.49,44_0001150_0001174-reel_begin_end.tiff
