A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2306,363,2898,534,2204,1436,1784,1057,1522,1772,8.22,-3.95,17.0,-12.27,6.71,-56.15,0.49,-37.71,44_0000775_0000799-reel_begin_end.tiff
2,5330,360,5900,493,5216,1434,4802,1056,1522,1772,8.14,-3.8,16.58,-10.27,6.45,-56.05,0.31,-37.66,44_0000775_0000799-reel_begin_end.tiff
3,8326,398,8900,461,8222,1435,7808,1056,1522,1772,8.08,-5.65,16.58,-8.72,6.54,-56.1,0.4,-37.66,44_0000775_0000799-reel_begin_end.tiff
4,11360,543,11930,618,11258,1434,10841,1107,1522,1772,8.14,-12.71,16.58,-16.35,6.62,-56.05,0.45,-40.14,44_0000775_0000799-reel_begin_end.tiff
5,14389,547,14975,866,14266,1435,13861,1105,1522,1772,8.27,-12.9,16.95,-28.42,6.45,-56.1,0.45,-40.04,44_0000775_0000799-reel_begin_end.tiff
6,17383,570,17960,589,17270,1438,16874,1114,1522,1772,8.03,-14.02,16.58,-14.94,6.36,-56.24,0.49,-40.48,44_0000775_0000799-reel_begin_end.tiff
7,20416,580,20986,597,20290,1437,19885,1107,1522,1772,8.22,-14.51,16.67,-15.33,6.36,-56.19,0.36,-40.14,44_0000775_0000799-reel_begin_end.tiff
8,23433,598,24019,665,23335,1438,22909,1111,1522,1772,8.03,-15.38,16.71,-18.64,6.58,-56.24,0.27,-40.34,44_0000775_0000799-reel_begin_end.tiff
9,26452,573,27038,643,26344,1438,25927,1112,1522,1772,8.31,-14.16,17.0,-17.57,6.71,-56.24,0.54,-40.38,44_0000775_0000799-reel_begin_end.tiff
10,29466,569,30052,664,29340,1438,28935,1068,1522,1772,8.22,-13.97,16.91,-18.59,6.36,-56.24,0.36,-38.24,44_0000775_0000799-reel_begin_end.tiff
11,32493,553,33091,689,32404,1436,31974,1108,1522,1772,8.18,-13.19,17.04,-19.81,6.86,-56.15,0.49,-40.19,44_0000775_0000799-reel_begin_end.tiff
12,35503,556,36113,842,35392,1436,34978,1107,1522,1772,8.18,-13.34,17.22,-27.25,6.54,-56.15,0.4,-40.14,44_0000775_0000799-reel_begin_end.tiff
