A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,805,300,1370,766,679,1448,274,1061,1525,274,8.29,-2.31,16.5,-24.32,6.46,-56.53,0.58,-38.25,44_0000850_0000874-reel_begin_end.tiff
2,3812,300,4373,388,3702,1447,3290,1062,1525,274,8.25,-2.31,16.4,-6.46,6.65,-56.49,0.67,-38.3,44_0000850_0000874-reel_begin_end.tiff
3,6828,300,7383,740,6681,1446,6300,1062,1525,274,8.34,-2.31,16.4,-23.09,6.2,-56.44,0.67,-38.3,44_0000850_0000874-reel_begin_end.tiff
4,9855,300,10420,786,9726,1444,9324,1068,1525,274,8.29,-2.31,16.5,-25.26,6.42,-56.34,0.58,-38.58,44_0000850_0000874-reel_begin_end.tiff
5,12875,300,13437,851,12758,1446,12350,1066,1525,274,8.29,-2.31,16.45,-28.33,6.59,-56.44,0.67,-38.49,44_0000850_0000874-reel_begin_end.tiff
6,15872,300,16427,661,15743,1444,15350,1069,1525,274,8.25,-2.31,16.31,-19.36,6.38,-56.34,0.67,-38.63,44_0000850_0000874-reel_begin_end.tiff
7,18899,300,19439,345,18792,1446,18380,1067,1525,274,8.21,-2.31,16.05,-4.43,6.65,-56.44,0.67,-38.54,44_0000850_0000874-reel_begin_end.tiff
8,21922,300,22465,678,21808,1445,21403,1067,1525,274,8.25,-2.31,16.14,-20.16,6.59,-56.39,0.71,-38.54,44_0000850_0000874-reel_begin_end.tiff
9,24935,388,25469,1003,24769,1443,24401,1066,1525,274,8.29,-6.46,16.05,-35.51,5.88,-56.3,0.54,-38.49,44_0000850_0000874-reel_begin_end.tiff
10,27961,355,28483,969,27832,1440,27433,1061,1525,274,8.38,-4.91,15.96,-33.91,6.51,-56.16,0.71,-38.25,44_0000850_0000874-reel_begin_end.tiff
11,30982,330,31494,781,30884,1443,30467,1065,1525,274,8.25,-3.73,15.68,-25.03,6.83,-56.3,0.77,-38.44,44_0000850_0000874-reel_begin_end.tiff
12,33989,389,34504,968,33848,1443,33464,1062,1525,274,8.21,-6.51,15.68,-33.86,6.16,-56.3,0.58,-38.3,44_0000850_0000874-reel_begin_end.tiff
