A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2358,1043,2943,1216,2260,1484,1798,1185,1511,1795,8.86,-36.74,17.4,-45.16,7.43,-58.2,0.69,-43.65,44_0001675_0001699-reel_begin_end.tiff
2,5304,597,5858,842,5200,1481,4736,1183,1511,1795,8.95,-15.04,17.03,-26.96,7.43,-58.05,0.66,-43.55,44_0001675_0001699-reel_begin_end.tiff
3,8264,607,8807,847,8149,1481,7690,1185,1511,1795,8.95,-15.53,16.87,-27.2,7.27,-58.05,0.57,-43.65,44_0001675_0001699-reel_begin_end.tiff
4,11197,605,11722,837,11105,1487,10643,1188,1511,1795,8.7,-15.43,16.36,-26.72,7.36,-58.35,0.61,-43.8,44_0001675_0001699-reel_begin_end.tiff
5,14195,629,14725,729,14107,1485,13651,1185,1511,1795,8.67,-16.6,16.41,-21.46,7.39,-58.25,0.73,-43.65,44_0001675_0001699-reel_begin_end.tiff
6,17236,638,17744,700,17175,1486,16673,1187,1511,1795,8.83,-17.04,16.25,-20.05,7.94,-58.3,0.61,-43.75,44_0001675_0001699-reel_begin_end.tiff
7,20255,628,20779,927,20170,1486,19703,1186,1511,1795,8.67,-16.55,16.32,-31.1,7.43,-58.3,0.61,-43.7,44_0001675_0001699-reel_begin_end.tiff
8,23285,600,23771,938,23208,1485,22708,1187,1511,1795,9.11,-15.19,16.2,-31.63,7.98,-58.25,0.69,-43.75,44_0001675_0001699-reel_begin_end.tiff
9,26321,621,26799,751,26220,1481,25731,1185,1511,1795,9.34,-16.21,16.32,-22.53,7.87,-58.05,0.73,-43.65,44_0001675_0001699-reel_begin_end.tiff
10,29335,645,29775,712,29253,1483,28753,1186,1511,1795,9.11,-17.38,15.53,-20.64,7.91,-58.15,0.61,-43.7,44_0001675_0001699-reel_begin_end.tiff
11,32337,631,32757,628,32233,1480,31766,1185,1511,1795,8.99,-16.7,15.12,-16.55,7.47,-58.0,0.66,-43.65,44_0001675_0001699-reel_begin_end.tiff
12,35274,606,35697,618,35181,1483,34706,1189,1511,1795,8.95,-15.48,15.12,-16.06,7.59,-58.15,0.66,-43.85,44_0001675_0001699-reel_begin_end.tiff
