A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1955.0,732.0,2191.0,714.0,1807.0,1428.0,1381.0,1237.0,1519,1378,8.86,-21.21,12.31,-20.31,6.7,-55.93,0.49,-46.4,143,44_0000025_0000049-reel_begin_end,1119,-77.757004,168.558502
2,4992.0,736.0,5219.0,729.0,4853.0,1432.0,4418.0,1269.0,1519,1378,8.82,-21.41,12.13,-21.06,6.79,-56.13,0.44,-48.0,143,44_0000025_0000049-reel_begin_end,1120,-77.763794,168.4664
3,8001.0,757.0,8225.0,912.0,7820.0,1433.0,7430.0,1277.0,1519,1378,8.95,-22.45,12.22,-30.19,6.31,-56.18,0.62,-48.4,143,44_0000025_0000049-reel_begin_end,1121,-77.772003,168.357895
4,11015.0,738.0,11239.0,682.0,10864.0,1432.0,10438.0,1270.0,1519,1378,8.86,-21.51,12.13,-18.71,6.66,-56.13,0.44,-48.05,143,44_0000025_0000049-reel_begin_end,1122,-77.778793,168.275406
5,14020.0,754.0,14235.0,689.0,13919.0,1434.0,13474.0,1268.0,1519,1378,8.5,-22.31,11.64,-19.06,7.03,-56.23,0.53,-47.95,143,44_0000025_0000049-reel_begin_end,1123,-77.787003,168.183304
6,16987.0,738.0,17196.0,662.0,16880.0,1436.0,16475.0,1284.0,1519,1378,7.87,-21.51,10.92,-17.72,6.31,-56.33,0.4,-48.74,143,44_0000025_0000049-reel_begin_end,1124,-77.793793,168.091202
7,19961.0,704.0,20170.0,642.0,19838.0,1431.0,19498.0,1269.0,1519,1378,7.2,-19.81,10.25,-16.72,5.41,-56.08,0.44,-48.0,143,44_0000025_0000049-reel_begin_end,1125,-77.800598,167.997696
8,22951.0,680.0,23148.0,636.0,22856.0,1433.0,,,1519,1378,6.62,-18.61,9.49,-16.42,5.23,-56.18,,,143,44_0000025_0000049-reel_begin_end,1126,-77.806107,167.902893
9,25940.0,672.0,26118.0,609.0,25863.0,1432.0,25541.0,1270.0,1519,1378,6.31,-18.21,8.91,-15.07,5.19,-56.13,0.49,-48.05,143,44_0000025_0000049-reel_begin_end,1127,-77.808701,167.809494
10,28888.0,657.0,29063.0,518.0,28848.0,1435.0,28557.0,1272.0,1519,1378,5.41,-17.47,7.96,-10.53,4.82,-56.28,0.57,-48.15,143,44_0000025_0000049-reel_begin_end,1128,-77.814194,167.718796
11,31891.0,671.0,32032.0,523.0,31866.0,1450.0,31581.0,1271.0,1519,1378,5.01,-18.16,7.07,-10.78,4.65,-57.03,0.49,-48.1,143,44_0000025_0000049-reel_begin_end,1129,-77.819595,167.628098
12,34902.0,624.0,34951.0,525.0,34681.0,1445.0,34598.0,1269.0,1519,1378,4.88,-15.82,5.6,-10.88,1.65,-56.78,0.44,-48.0,143,44_0000025_0000049-reel_begin_end,1130,-77.826401,167.523697
1,3557.0,753.0,3732.0,596.0,3376.0,1428.0,2906.0,1267.0,1519,2900,10.07,-23.08,12.63,-15.48,7.43,-55.75,0.57,-47.96,143,44_0000050_0000074-reel_begin_end,1106,-77.700195,169.763596
2,6567.0,754.0,6751.0,598.0,6349.0,1430.0,5913.0,1274.0,1519,2900,10.07,-23.13,12.76,-15.58,6.89,-55.85,0.53,-48.3,143,44_0000050_0000074-reel_begin_end,1107,-77.708298,169.679703
3,9583.0,748.0,9761.0,611.0,9387.0,1433.0,8926.0,1274.0,1519,2900,10.16,-22.84,12.76,-16.21,7.3,-55.99,0.57,-48.3,143,44_0000050_0000074-reel_begin_end,1108,-77.715103,169.594498
4,12601.0,748.0,12785.0,628.0,12427.0,1430.0,11960.0,1269.0,1519,2900,9.84,-22.84,12.52,-17.03,7.3,-55.85,0.48,-48.06,143,44_0000050_0000074-reel_begin_end,1109,-77.719193,169.502502
5,15614.0,753.0,15789.0,666.0,15443.0,1434.0,14976.0,1272.0,1519,2900,9.88,-23.08,12.44,-18.87,7.39,-56.04,0.57,-48.2,143,44_0000050_0000074-reel_begin_end,1110,-77.723297,169.4104
6,18643.0,653.0,18830.0,828.0,18459.0,1432.0,17986.0,1269.0,1519,2900,10.16,-18.24,12.89,-26.71,7.47,-55.95,0.57,-48.06,143,44_0000050_0000074-reel_begin_end,1111,-77.724503,169.319702
7,21667.0,802.0,21851.0,683.0,21437.0,1433.0,21013.0,1271.0,1519,2900,10.07,-25.45,12.76,-19.69,6.71,-55.99,0.53,-48.15,143,44_0000050_0000074-reel_begin_end,1112,-77.729996,169.209793
8,24659.0,780.0,24855.0,801.0,24487.0,1430.0,24042.0,1270.0,1519,2900,9.66,-24.39,12.52,-25.4,7.15,-55.85,0.66,-48.1,143,44_0000050_0000074-reel_begin_end,1113,-77.7341,169.117706
9,27657.0,749.0,27856.0,769.0,27467.0,1431.0,27043.0,1269.0,1519,2900,9.49,-22.89,12.39,-23.85,6.71,-55.9,0.53,-48.06,143,44_0000050_0000074-reel_begin_end,1114,-77.736801,169.0271
10,30677.0,732.0,30889.0,698.0,30557.0,1429.0,30066.0,1271.0,1519,2900,9.49,-22.06,12.58,-20.42,7.74,-55.8,0.57,-48.15,143,44_0000050_0000074-reel_begin_end,1115,-77.740799,168.926804
11,33688.0,737.0,33903.0,705.0,33553.0,1429.0,33099.0,1267.0,1519,2900,9.21,-22.31,12.35,-20.76,7.24,-55.8,0.61,-47.96,143,44_0000050_0000074-reel_begin_end,1116,-77.744904,168.837402
1,2020.0,753.0,2195.0,573.0,1876.0,1435.0,1391.0,1271.0,1525,1388,9.7,-22.77,12.27,-14.02,7.59,-55.95,0.48,-47.97,143,44_0000075_0000099-reel_begin_end,1094,-77.548203,170.540298
2,5041.0,759.0,5219.0,645.0,4894.0,1431.0,4406.0,1280.0,1525,1388,10.01,-23.06,12.62,-17.52,7.85,-55.75,0.7,-48.41,143,44_0000075_0000099-reel_begin_end,1095,-77.560593,170.477005
3,8049.0,764.0,8233.0,1271.0,7877.0,1436.0,7414.0,1275.0,1525,1388,9.83,-23.31,12.53,-47.97,7.31,-56.0,0.52,-48.16,143,44_0000075_0000099-reel_begin_end,1096,-77.571503,170.4095
4,11088.0,744.0,11260.0,632.0,10932.0,1437.0,10450.0,1271.0,1525,1388,9.96,-22.33,12.49,-16.89,7.68,-56.04,0.61,-47.97,143,44_0000075_0000099-reel_begin_end,1097,-77.585205,170.342102
5,14115.0,754.0,14305.0,686.0,13980.0,1435.0,13474.0,1270.0,1525,1388,9.92,-22.82,12.71,-19.51,7.94,-55.95,0.52,-47.92,143,44_0000075_0000099-reel_begin_end,1098,-77.597504,170.277298
6,17118.0,736.0,17311.0,587.0,17005.0,1434.0,16474.0,1271.0,1525,1388,9.96,-21.94,12.8,-14.7,8.31,-55.9,0.52,-47.97,143,44_0000075_0000099-reel_begin_end,1099,-77.608505,170.214005
7,20145.0,753.0,20332.0,618.0,20025.0,1434.0,19507.0,1274.0,1525,1388,9.92,-22.77,12.66,-16.2,8.16,-55.9,0.56,-48.12,143,44_0000075_0000099-reel_begin_end,1100,-77.620804,170.153397
8,23178.0,740.0,23368.0,709.0,22997.0,1437.0,22525.0,1273.0,1525,1388,9.96,-22.14,12.75,-20.63,7.31,-56.04,0.39,-48.07,143,44_0000075_0000099-reel_begin_end,1101,-77.634399,170.085907
9,26175.0,855.0,26368.0,712.0,26037.0,1428.0,25534.0,1266.0,1525,1388,9.92,-27.73,12.75,-20.78,7.9,-55.61,0.52,-47.73,143,44_0000075_0000099-reel_begin_end,1102,-77.645401,170.021194
10,29204.0,769.0,29385.0,646.0,29026.0,1433.0,28551.0,1277.0,1525,1388,10.05,-23.55,12.71,-17.57,7.44,-55.85,0.48,-48.26,143,44_0000075_0000099-reel_begin_end,1103,-77.6604,169.951004
11,32222.0,753.0,32406.0,640.0,32038.0,1432.0,31584.0,1268.0,1525,1388,9.88,-22.77,12.58,-17.27,7.18,-55.8,0.52,-47.82,143,44_0000075_0000099-reel_begin_end,1104,-77.672806,169.8862
12,35232.0,777.0,35428.0,612.0,35091.0,1431.0,34591.0,1270.0,1525,1388,9.88,-23.94,12.75,-15.91,7.81,-55.75,0.48,-47.92,143,44_0000075_0000099-reel_begin_end,1105,-77.686401,169.821503
1,3504.0,718.0,3998.0,1071.0,3363.0,1429.0,2899.0,1274.0,1519,2896,9.3,-21.16,16.54,-38.59,7.23,-56.27,0.42,-48.62,143,44_0000100_0000124-reel_begin_end,1081,-77.374405,171.225494
2,6496.0,739.0,6996.0,1136.0,6339.0,1433.0,5906.0,1275.0,1519,2896,9.12,-22.2,16.45,-41.8,6.82,-56.47,0.47,-48.67,143,44_0000100_0000124-reel_begin_end,1082,-77.389404,171.184006
3,9529.0,746.0,10026.0,1103.0,9274.0,1431.0,8927.0,1278.0,1519,2896,9.16,-22.54,16.45,-40.17,5.42,-56.37,0.33,-48.81,143,44_0000100_0000124-reel_begin_end,1083,-77.403198,171.135696
4,12562.0,720.0,13043.0,1115.0,12411.0,1428.0,11963.0,1267.0,1519,2896,9.21,-21.26,16.26,-40.77,6.99,-56.22,0.42,-48.27,143,44_0000100_0000124-reel_begin_end,1084,-77.414093,171.091599
5,15562.0,761.0,16044.0,1098.0,15473.0,1430.0,14970.0,1269.0,1519,2896,9.06,-23.28,16.13,-39.93,7.76,-56.32,0.38,-48.37,143,44_0000100_0000124-reel_begin_end,1085,-77.430496,171.0392
6,18579.0,800.0,19057.0,1113.0,18502.0,1432.0,17989.0,1245.0,1519,2896,9.16,-25.21,16.17,-40.67,8.03,-56.42,0.51,-47.19,143,44_0000100_0000124-reel_begin_end,1086,-77.444199,170.988205
7,21615.0,772.0,22066.0,1101.0,21431.0,1431.0,21016.0,1268.0,1519,2896,9.25,-23.83,15.87,-40.07,6.55,-56.37,0.47,-48.32,143,44_0000100_0000124-reel_begin_end,1087,-77.456497,170.942596
8,24631.0,737.0,25073.0,1064.0,24499.0,1432.0,24033.0,1272.0,1519,2896,9.34,-22.1,15.82,-38.25,7.4,-56.42,0.57,-48.52,143,44_0000100_0000124-reel_begin_end,1088,-77.4702,170.887497
9,27647.0,757.0,28077.0,1038.0,27515.0,1431.0,27043.0,1271.0,1519,2896,9.43,-23.09,15.73,-36.96,7.49,-56.37,0.57,-48.47,143,44_0000100_0000124-reel_begin_end,1089,-77.483902,170.832397
10,30672.0,751.0,31095.0,1093.0,30527.0,1433.0,30073.0,1271.0,1519,2896,9.16,-22.79,15.37,-39.68,7.04,-56.47,0.38,-48.47,143,44_0000100_0000124-reel_begin_end,1090,-77.494904,170.773193
11,33697.0,801.0,34102.0,1114.0,33528.0,1431.0,33086.0,1269.0,1519,2896,9.38,-25.26,15.32,-40.72,6.9,-56.37,0.42,-48.37,143,44_0000100_0000124-reel_begin_end,1091,-77.505798,170.715302
1,2033.0,820.0,,,1842.0,1432.0,1207.0,1142.0,1519,1204,12.85,-26.73,,,10.05,-55.78,0.74,-42.02,143,44_0000125_0000149-reel_begin_end,1069,-77.240204,171.879898
2,5021.0,1031.0,5279.0,1226.0,4905.0,1433.0,4211.0,1149.0,1519,1204,12.53,-36.75,16.31,-46.0,10.83,-55.83,0.65,-42.35,143,44_0000125_0000149-reel_begin_end,1070,-77.255402,171.861694
3,8031.0,1072.0,8381.0,1320.0,7927.0,1432.0,7224.0,1143.0,1519,1204,12.53,-38.69,17.66,-50.47,11.01,-55.78,0.69,-42.06,143,44_0000125_0000149-reel_begin_end,1071,-77.270401,171.820297
4,11059.0,787.0,11452.0,1021.0,10915.0,1430.0,10451.0,1270.0,1519,1204,9.7,-25.17,15.46,-36.27,7.59,-55.69,0.78,-48.09,143,44_0000125_0000149-reel_begin_end,1072,-77.281403,171.768005
5,14085.0,747.0,14508.0,1037.0,13907.0,1430.0,13465.0,1270.0,1519,1204,9.79,-23.27,15.99,-37.03,7.18,-55.69,0.69,-48.09,143,44_0000125_0000149-reel_begin_end,1073,-77.293701,171.711395
6,17089.0,809.0,17540.0,1083.0,16951.0,1434.0,16472.0,1270.0,1519,1204,9.7,-26.21,16.31,-39.22,7.68,-55.88,0.65,-48.09,143,44_0000125_0000149-reel_begin_end,1074,-77.306,171.654999
7,20118.0,939.0,20594.0,1268.0,19946.0,1430.0,19504.0,1270.0,1519,1204,9.83,-32.38,16.81,-48.0,7.31,-55.69,0.83,-48.09,143,44_0000125_0000149-reel_begin_end,1075,-77.315598,171.599899
8,23144.0,767.0,23617.0,1041.0,22994.0,1429.0,22524.0,1269.0,1519,1204,9.92,-24.22,16.86,-37.22,7.72,-55.64,0.83,-48.05,143,44_0000125_0000149-reel_begin_end,1076,-77.326508,171.526993
9,26142.0,789.0,26630.0,1161.0,26001.0,1432.0,25528.0,1271.0,1519,1204,9.74,-25.26,16.9,-42.92,7.68,-55.78,0.74,-48.14,143,44_0000125_0000149-reel_begin_end,1077,-77.334702,171.460907
10,29181.0,745.0,29666.0,1153.0,28988.0,1432.0,,,1519,1204,9.88,-23.17,16.99,-42.54,7.05,-55.78,,,143,44_0000125_0000149-reel_begin_end,1078,-77.341507,171.394897
11,32195.0,759.0,32704.0,1128.0,32042.0,1428.0,31581.0,1267.0,1519,1204,9.79,-23.84,17.25,-41.35,7.54,-55.59,0.78,-47.95,143,44_0000125_0000149-reel_begin_end,1079,-77.351105,171.327393
12,35211.0,750.0,35696.0,1126.0,35045.0,1431.0,34585.0,1271.0,1519,1204,9.88,-23.41,16.99,-41.26,7.44,-55.73,0.69,-48.14,143,44_0000125_0000149-reel_begin_end,1080,-77.362,171.272293
