A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2323,551,,,2201,1435,1778,1104,1514,1775,8.49,-13.13,,,6.68,-56.19,0.4,-40.07,44_0000525_0000549-reel_begin_end.tiff
2,5310,541,,,5212,1437,4762,1104,1514,1775,8.44,-12.65,,,6.99,-56.29,0.31,-40.07,44_0000525_0000549-reel_begin_end.tiff
3,8330,650,8753,1028,8186,1440,7791,1107,1514,1775,8.44,-17.96,14.72,-36.37,6.31,-56.44,0.45,-40.22,44_0000525_0000549-reel_begin_end.tiff
4,11363,624,11782,838,11255,1440,10814,1104,1514,1775,8.63,-16.69,14.85,-27.11,7.03,-56.44,0.49,-40.07,44_0000525_0000549-reel_begin_end.tiff
5,14323,546,14743,605,14201,1441,13781,1106,1514,1775,8.49,-12.89,14.72,-15.76,6.68,-56.48,0.45,-40.17,44_0000525_0000549-reel_begin_end.tiff
6,17350,523,17810,1183,17255,1433,16811,1103,1514,1775,8.44,-11.77,15.26,-43.92,7.03,-56.09,0.45,-40.02,44_0000525_0000549-reel_begin_end.tiff
7,20323,557,20759,743,20195,1442,19784,1104,1514,1775,8.49,-13.43,14.95,-22.49,6.59,-56.53,0.49,-40.07,44_0000525_0000549-reel_begin_end.tiff
8,23327,544,23762,837,23196,1440,22788,1106,1514,1775,8.4,-12.79,14.85,-27.07,6.45,-56.44,0.4,-40.17,44_0000525_0000549-reel_begin_end.tiff
9,26353,533,26798,688,26231,1434,25811,1103,1514,1775,8.49,-12.26,15.09,-19.81,6.68,-56.14,0.45,-40.02,44_0000525_0000549-reel_begin_end.tiff
10,29310,560,29758,691,29154,1434,28771,1066,1514,1775,8.44,-13.57,15.09,-19.95,6.13,-56.14,0.45,-38.22,44_0000525_0000549-reel_begin_end.tiff
11,32317,555,32780,722,32222,1438,31772,1109,1514,1775,8.4,-13.33,15.26,-21.46,6.99,-56.34,0.31,-40.31,44_0000525_0000549-reel_begin_end.tiff
12,35337,514,35794,855,35239,1437,34798,1103,1514,1775,8.4,-11.33,15.18,-27.94,6.94,-56.29,0.4,-40.02,44_0000525_0000549-reel_begin_end.tiff
