A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2330,346,2748,1088,2213,1468,1776,1106,1508,1782,8.58,-3.19,14.73,-39.13,6.86,-57.54,0.42,-40.01,44_0001475_0001499-reel_begin_end.tiff
2,5363,358,5778,1060,5259,1468,4812,1096,1508,1782,8.62,-3.77,14.73,-37.78,7.09,-57.54,0.51,-39.52,44_0001475_0001499-reel_begin_end.tiff
3,8373,376,8758,955,8255,1468,7819,1100,1508,1782,8.62,-4.64,14.29,-32.69,6.88,-57.54,0.46,-39.72,44_0001475_0001499-reel_begin_end.tiff
4,11385,347,11784,1033,11271,1466,10832,1098,1508,1782,8.65,-3.24,14.53,-36.47,6.97,-57.45,0.51,-39.62,44_0001475_0001499-reel_begin_end.tiff
5,14347,343,14732,1096,14241,1467,13793,1102,1508,1782,8.53,-3.04,14.2,-39.52,6.97,-57.49,0.38,-39.81,44_0001475_0001499-reel_begin_end.tiff
6,17360,379,17739,1074,17273,1468,16812,1096,1508,1782,8.58,-4.79,14.16,-38.46,7.3,-57.54,0.51,-39.52,44_0001475_0001499-reel_begin_end.tiff
7,20303,351,20679,1018,20210,1466,19757,1095,1508,1782,8.62,-3.43,14.16,-35.74,7.25,-57.45,0.58,-39.47,44_0001475_0001499-reel_begin_end.tiff
8,23280,367,23687,1035,23168,1465,22729,1095,1508,1782,8.58,-4.21,14.57,-36.57,6.93,-57.4,0.46,-39.47,44_0001475_0001499-reel_begin_end.tiff
9,26228,364,26648,798,26122,1466,25672,1101,1508,1782,8.7,-4.06,14.88,-25.09,7.14,-57.45,0.51,-39.76,44_0001475_0001499-reel_begin_end.tiff
10,29233,381,29653,644,29151,1469,28684,1096,1508,1782,8.62,-4.89,14.81,-17.63,7.41,-57.59,0.54,-39.52,44_0001475_0001499-reel_begin_end.tiff
11,32260,345,32680,858,32162,1467,31712,1092,1508,1782,8.58,-3.14,14.76,-27.99,7.14,-57.49,0.51,-39.33,44_0001475_0001499-reel_begin_end.tiff
12,35277,397,35687,600,35182,1468,34732,1098,1508,1782,8.53,-5.66,14.57,-15.49,7.14,-57.54,0.51,-39.62,44_0001475_0001499-reel_begin_end.tiff
