A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3873,608,4332,805,3775,1476,3303,1177,1505,3307,8.93,-15.53,15.66,-25.16,7.49,-57.96,0.57,-43.34,44_0001600_0001624-reel_begin_end.tiff
2,6881,601,7334,652,6783,1476,6313,1173,1505,3307,8.9,-15.19,15.54,-17.68,7.46,-57.96,0.57,-43.15,44_0001600_0001624-reel_begin_end.tiff
3,9839,578,10297,600,9754,1477,9269,1174,1505,3307,9.01,-14.25,15.73,-15.32,7.77,-57.99,0.66,-43.25,44_0001600_0001624-reel_begin_end.tiff
4,12862,589,13323,856,12747,1477,12289,1173,1505,3307,9.06,-14.78,15.82,-27.78,7.37,-57.99,0.66,-43.2,44_0001600_0001624-reel_begin_end.tiff
5,15866,561,16330,772,15771,1479,15296,1177,1505,3307,8.97,-13.42,15.77,-23.69,7.58,-58.09,0.61,-43.39,44_0001600_0001624-reel_begin_end.tiff
6,18885,644,19352,965,18793,1475,18318,1177,1505,3307,8.81,-17.46,15.66,-33.08,7.46,-57.89,0.5,-43.39,44_0001600_0001624-reel_begin_end.tiff
7,21845,598,,,21739,1475,21281,1173,1505,3307,8.81,-15.22,,,7.25,-57.89,0.54,-43.2,44_0001600_0001624-reel_begin_end.tiff
8,24783,605,,,24663,1473,24216,1174,1505,3307,8.93,-15.56,,,7.17,-57.8,0.61,-43.25,44_0001600_0001624-reel_begin_end.tiff
9,27728,592,,,27622,1472,27161,1161,1505,3307,8.85,-14.93,,,7.3,-57.75,0.54,-42.62,44_0001600_0001624-reel_begin_end.tiff
10,30696,600,31155,1211,30601,1476,30129,1171,1505,3307,8.97,-15.32,15.7,-45.05,7.58,-57.94,0.66,-43.1,44_0001600_0001624-reel_begin_end.tiff
11,33689,597,34164,917,33569,1478,33119,1171,1505,3307,9.01,-15.17,15.98,-30.74,7.25,-58.04,0.66,-43.1,44_0001600_0001624-reel_begin_end.tiff
