A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2321,385,2814,704,2214,1450,1784,1080,1508,1788,8.36,-4.73,15.59,-20.25,6.79,-56.54,0.49,-38.54,44_0001175_0001199-reel_begin_end.tiff
2,5335,411,5842,728,5220,1450,4804,1077,1508,1788,8.28,-5.99,15.71,-21.41,6.59,-56.54,0.49,-38.4,44_0001175_0001199-reel_begin_end.tiff
3,8345,408,8855,702,8233,1450,7811,1079,1508,1788,8.28,-5.84,15.75,-20.15,6.63,-56.54,0.45,-38.49,44_0001175_0001199-reel_begin_end.tiff
4,11373,394,11885,743,11263,1454,10844,1078,1508,1788,8.25,-5.16,15.75,-22.14,6.63,-56.74,0.49,-38.44,44_0001175_0001199-reel_begin_end.tiff
5,14393,364,14907,737,14280,1450,13861,1077,1508,1788,8.25,-3.7,15.78,-21.85,6.59,-56.54,0.45,-38.4,44_0001175_0001199-reel_begin_end.tiff
6,17401,385,17940,780,17297,1451,16864,1081,1508,1788,8.36,-4.73,16.27,-23.95,6.84,-56.59,0.49,-38.59,44_0001175_0001199-reel_begin_end.tiff
7,20418,381,20955,643,20322,1450,19887,1079,1508,1788,8.32,-4.53,16.19,-17.28,6.91,-56.54,0.53,-38.49,44_0001175_0001199-reel_begin_end.tiff
8,23448,374,23982,562,23333,1450,22914,1080,1508,1788,8.32,-4.19,16.15,-13.34,6.63,-56.54,0.49,-38.54,44_0001175_0001199-reel_begin_end.tiff
9,26455,372,26992,558,26349,1451,25924,1077,1508,1788,8.28,-4.09,16.15,-13.14,6.72,-56.59,0.49,-38.4,44_0001175_0001199-reel_begin_end.tiff
10,29473,394,30015,627,29371,1451,28941,1079,1508,1788,8.25,-5.16,16.19,-16.5,6.75,-56.59,0.45,-38.49,44_0001175_0001199-reel_begin_end.tiff
11,32501,394,33038,586,32405,1448,31970,1075,1508,1788,8.36,-5.16,16.24,-14.51,6.96,-56.45,0.58,-38.3,44_0001175_0001199-reel_begin_end.tiff
12,35508,440,36048,696,35404,1450,34977,1076,1508,1788,8.32,-7.4,16.24,-19.86,6.79,-56.54,0.53,-38.35,44_0001175_0001199-reel_begin_end.tiff
