A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3481,798,4406,1382,3316,1434,2896,1275,1517,2887,9.23,-25.46,22.68,-53.62,6.83,-56.13,0.72,-48.46,44_0000300_0000324-reel_begin_end.tiff
2,6520,771,7433,1406,6355,1435,5920,1276,1517,2887,9.36,-24.16,22.64,-54.78,6.96,-56.18,0.64,-48.51,44_0000300_0000324-reel_begin_end.tiff
3,9538,769,10433,1336,9333,1423,8956,1294,1517,2887,9.19,-24.06,22.2,-51.41,6.21,-55.6,0.72,-49.38,44_0000300_0000324-reel_begin_end.tiff
4,12544,764,13436,1348,12437,1435,11950,1273,1517,2887,9.27,-23.82,22.24,-51.98,7.72,-56.18,0.64,-48.37,44_0000300_0000324-reel_begin_end.tiff
5,15571,789,16457,1325,15384,1436,14980,1275,1517,2887,9.23,-25.03,22.11,-50.88,6.51,-56.23,0.64,-48.46,44_0000300_0000324-reel_begin_end.tiff
6,18602,782,19040,792,18433,1436,17995,1275,1517,2887,9.68,-24.69,16.05,-25.17,7.22,-56.23,0.86,-48.46,44_0000300_0000324-reel_begin_end.tiff
7,21607,767,22039,899,21454,1434,21010,1275,1517,2887,9.32,-23.96,15.6,-30.33,7.09,-56.13,0.64,-48.46,44_0000300_0000324-reel_begin_end.tiff
8,24627,780,25081,783,24502,1434,24027,1274,1517,2887,9.32,-24.59,15.92,-24.74,7.5,-56.13,0.59,-48.42,44_0000300_0000324-reel_begin_end.tiff
9,27657,765,28530,1232,27467,1435,27050,1286,1517,2887,9.32,-23.87,22.01,-46.39,6.55,-56.18,0.49,-48.99,44_0000300_0000324-reel_begin_end.tiff
10,30654,759,31546,1279,30550,1431,30057,1242,1517,2887,9.27,-23.58,22.24,-48.66,7.76,-55.99,0.59,-46.87,44_0000300_0000324-reel_begin_end.tiff
11,33684,748,34554,1330,33531,1432,33090,1272,1517,2887,9.27,-23.05,21.92,-51.12,7.05,-56.04,0.64,-48.32,44_0000300_0000324-reel_begin_end.tiff
