A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1675.0,501.0,1960.0,841.0,1124,1360,500,992,1517,503,18.74,-11.44,22.94,-27.66,10.62,-52.43,1.42,-34.87,126,47_0002500_0002524-reel_begin_end,352,-78.423203,165.816605
2,4652.0,473.0,5052.0,1099.0,4131,1360,3510,984,1517,503,18.25,-10.1,24.15,-39.98,10.57,-52.43,1.42,-34.49,126,47_0002500_0002524-reel_begin_end,353,-78.397095,165.852402
3,7682.0,486.0,7897.0,866.0,7154,1355,6543,980,1517,503,18.25,-10.72,21.42,-28.86,10.47,-52.19,1.47,-34.3,126,47_0002500_0002524-reel_begin_end,354,-78.373703,165.881195
4,10670.0,551.0,,,10167,1330,9563,977,1517,503,17.78,-13.82,,,10.37,-51.0,1.47,-34.15,126,47_0002500_0002524-reel_begin_end,355,-78.354507,165.905899
5,13650.0,495.0,,,13189,1325,12565,986,1517,503,17.41,-11.15,,,10.62,-50.76,1.42,-34.58,126,47_0002500_0002524-reel_begin_end,356,-78.332504,165.940201
6,16698.0,455.0,,,16166,1341,15595,988,1517,503,17.68,-9.24,,,9.84,-51.53,1.42,-34.68,126,47_0002500_0002524-reel_begin_end,357,-78.313293,165.971802
7,19765.0,481.0,,,19250,1341,18618,984,1517,503,18.37,-10.48,,,10.78,-51.53,1.47,-34.49,126,47_0002500_0002524-reel_begin_end,358,-78.294098,166.004807
8,22767.0,422.0,,,22228,1314,21625,971,1517,503,18.25,-7.66,,,10.31,-50.24,1.42,-33.87,126,47_0002500_0002524-reel_begin_end,359,-78.274796,166.044601
9,25741.0,428.0,,,25269,1303,24648,980,1517,503,17.57,-7.95,,,10.62,-49.71,1.47,-34.3,126,47_0002500_0002524-reel_begin_end,360,-78.2556,166.081696
10,28618.0,296.0,28282.0,1287.0,28218,1288,27675,972,1517,503,15.47,-1.65,10.51,-48.95,9.57,-49.0,1.57,-33.91,126,47_0002500_0002524-reel_begin_end,361,-78.235001,166.118805
11,31467.0,197.0,,,31121,1339,30682,977,1517,503,13.09,3.07,,,7.99,-51.43,1.52,-34.15,126,47_0002500_0002524-reel_begin_end,362,-78.215393,166.154495
12,34366.0,197.0,,,34105,1333,33698,972,1517,503,11.31,3.07,,,7.46,-51.14,1.47,-33.91,126,47_0002500_0002524-reel_begin_end,363,-78.196594,166.184692
1,3192.0,688.0,3456.0,828.0,2659,1369,2002,992,1510,2006,19.0,-20.94,22.89,-27.51,11.15,-52.9,1.46,-35.21,126,47_0002525_0002549-reel_begin_end,339,-78.719803,165.374496
2,6222.0,713.0,6489.0,834.0,5679,1365,5032,991,1510,2006,19.0,-22.11,22.93,-27.79,11.0,-52.71,1.46,-35.16,126,47_0002525_0002549-reel_begin_end,340,-78.6978,165.414307
3,9238.0,675.0,9509.0,803.0,8688,1363,8052,991,1510,2006,18.94,-20.33,22.93,-26.34,10.84,-52.62,1.46,-35.16,126,47_0002525_0002549-reel_begin_end,341,-78.673096,165.449997
4,12246.0,688.0,12510.0,799.0,11689,1364,11057,992,1510,2006,18.94,-20.94,22.83,-26.15,10.73,-52.66,1.42,-35.21,126,47_0002525_0002549-reel_begin_end,342,-78.651093,165.485703
5,15262.0,678.0,15537.0,803.0,14702,1365,14084,993,1510,2006,18.88,-20.47,22.93,-26.34,10.63,-52.71,1.52,-35.25,126,47_0002525_0002549-reel_begin_end,343,-78.627808,165.5186
6,18300.0,684.0,18575.0,829.0,17682,1364,17114,991,1510,2006,19.0,-20.75,23.05,-27.56,9.89,-52.66,1.52,-35.16,126,47_0002525_0002549-reel_begin_end,344,-78.603104,165.561203
7,21300.0,513.0,21578.0,681.0,20739,1367,20117,992,1510,2006,19.0,-12.73,23.1,-20.61,10.73,-52.8,1.57,-35.21,126,47_0002525_0002549-reel_begin_end,345,-78.5811,165.594193
8,24316.0,501.0,24595.0,803.0,23948,1363,23134,993,1510,2006,18.94,-12.17,23.05,-26.34,13.52,-52.62,1.52,-35.25,126,47_0002525_0002549-reel_begin_end,346,-78.559097,165.628494
9,27350.0,525.0,27621.0,753.0,26749,1368,26164,992,1510,2006,19.0,-13.29,22.99,-23.99,10.14,-52.85,1.52,-35.21,126,47_0002525_0002549-reel_begin_end,347,-78.535797,165.661499
10,30356.0,524.0,30624.0,700.0,29602,1364,29170,992,1510,2006,18.94,-13.24,22.89,-21.5,7.83,-52.66,1.46,-35.21,126,47_0002525_0002549-reel_begin_end,348,-78.512405,165.690308
11,33372.0,519.0,33632.0,673.0,32793,1362,32186,991,1510,2006,19.0,-13.01,22.83,-20.24,10.47,-52.57,1.52,-35.16,126,47_0002525_0002549-reel_begin_end,349,-78.491806,165.723297
12,36394.0,554.0,36669.0,933.0,35876,1359,35216,987,1510,2006,18.88,-14.65,22.93,-32.44,11.25,-52.43,1.52,-34.97,126,47_0002525_0002549-reel_begin_end,350,-78.467102,165.750702
1,2271.0,504.0,,,1328,1350,635,979,1513,635,24.45,-11.5,,,10.63,-52.11,0.48,-34.3,126,47_0002550_0002574-reel_begin_end,326,-79.016403,164.941895
2,5445.0,569.0,,,4362,1353,3648,986,1513,635,26.7,-14.62,,,10.83,-52.25,0.37,-34.64,126,47_0002550_0002574-reel_begin_end,327,-78.995804,164.959702
3,,,,,7222,1351,6679,979,1513,635,,,,,8.49,-52.16,0.53,-34.3,126,47_0002550_0002574-reel_begin_end,328,-78.975204,164.988602
4,10389.0,629.0,10636.0,897.0,9975,1370,9550,994,1513,635,12.72,-17.5,16.34,-30.37,6.66,-53.07,0.43,-35.02,126,47_0002550_0002574-reel_begin_end,329,-78.950607,165.016006
5,13467.0,595.0,13717.0,859.0,12988,1366,12567,993,1513,635,13.72,-15.87,17.38,-28.54,6.7,-52.88,0.53,-34.97,126,47_0002550_0002574-reel_begin_end,330,-78.9272,165.0504
6,16554.0,667.0,16804.0,933.0,16218,1369,15593,996,1513,635,14.56,-19.33,18.22,-32.09,9.63,-53.02,0.48,-35.12,126,47_0002550_0002574-reel_begin_end,331,-78.905197,165.083298
7,19618.0,711.0,19868.0,873.0,19014,1367,18603,993,1513,635,15.35,-21.44,19.01,-29.21,6.5,-52.93,0.48,-34.97,126,47_0002550_0002574-reel_begin_end,332,-78.881805,165.116196
8,22677.0,627.0,22934.0,771.0,22066,1364,21616,992,1513,635,16.02,-17.41,19.79,-24.32,7.07,-52.78,0.48,-34.93,126,47_0002550_0002574-reel_begin_end,333,-78.857101,165.138199
9,25761.0,655.0,26014.0,831.0,25250,1366,24650,992,1513,635,16.81,-18.75,20.52,-27.2,9.33,-52.88,0.53,-34.93,126,47_0002550_0002574-reel_begin_end,334,-78.833801,165.167099
10,28823.0,661.0,29069.0,818.0,28280,1364,27662,991,1513,635,17.54,-19.04,21.15,-26.57,9.59,-52.78,0.53,-34.88,126,47_0002550_0002574-reel_begin_end,335,-78.807693,165.204193
11,31858.0,702.0,32111.0,812.0,31290,1367,30668,993,1513,635,17.91,-21.01,21.62,-26.29,9.59,-52.93,0.48,-34.97,126,47_0002550_0002574-reel_begin_end,336,-78.787094,165.248199
12,34895.0,702.0,35152.0,817.0,34313,1365,33698,995,1513,635,18.01,-21.01,21.78,-26.53,9.49,-52.83,0.48,-35.07,126,47_0002550_0002574-reel_begin_end,337,-78.763702,165.289307
1,2671.0,346.0,3199.0,755.0,2571,1359,2142,985,1506,2142,8.23,-3.03,15.96,-23.0,6.76,-52.5,0.48,-34.23,126,47_0002575_0002599-reel_begin_end,314,-79.242996,164.663101
2,5704.0,342.0,,,5611,1352,5172,983,1506,2142,8.27,-2.83,,,6.91,-52.16,0.48,-34.14,126,47_0002575_0002599-reel_begin_end,315,-79.223801,164.685104
3,8717.0,362.0,9196.0,1007.0,8621,1356,8185,983,1506,2142,8.17,-3.81,15.19,-35.31,6.76,-52.35,0.38,-34.14,126,47_0002575_0002599-reel_begin_end,316,-79.203201,164.701508
4,11731.0,364.0,12538.0,1182.0,11431,1497,11199,980,1506,2142,8.23,-3.91,20.05,-43.85,3.83,-59.24,0.43,-33.99,126,47_0002575_0002599-reel_begin_end,317,-79.182602,164.720795
