A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2671,346,3199,755,2571,1359,2142,985,1506,2142,8.23,-3.03,15.96,-23.0,6.76,-52.5,0.48,-34.23,47_0002575_0002599-reel_begin_end.tiff
2,5704,342,,,5611,1352,5172,983,1506,2142,8.27,-2.83,,,6.91,-52.16,0.48,-34.14,47_0002575_0002599-reel_begin_end.tiff
3,8717,362,9196,1007,8621,1356,8185,983,1506,2142,8.17,-3.81,15.19,-35.31,6.76,-52.35,0.38,-34.14,47_0002575_0002599-reel_begin_end.tiff
4,11731,364,12538,1182,11431,1497,11199,980,1506,2142,8.23,-3.91,20.05,-43.85,3.83,-59.24,0.43,-33.99,47_0002575_0002599-reel_begin_end.tiff
5,14757,362,15293,608,14654,1357,14229,983,1506,2142,8.17,-3.81,16.02,-15.82,6.66,-52.4,0.43,-34.14,47_0002575_0002599-reel_begin_end.tiff
6,17776,336,18298,890,17569,1347,17248,980,1506,2142,8.27,-2.54,15.92,-29.59,5.24,-51.91,0.54,-33.99,47_0002575_0002599-reel_begin_end.tiff
7,20893,400,21415,693,20718,1361,20251,985,1506,2142,9.84,-5.66,17.49,-19.97,7.28,-52.6,0.43,-34.23,47_0002575_0002599-reel_begin_end.tiff
8,24052,444,,,23781,1355,23281,982,1506,2142,11.73,-7.81,,,7.76,-52.3,0.43,-34.09,47_0002575_0002599-reel_begin_end.tiff
9,27229,446,27754,610,26940,1357,26301,982,1506,2142,14.03,-7.91,21.72,-15.92,9.8,-52.4,0.43,-34.09,47_0002575_0002599-reel_begin_end.tiff
10,30399,477,30946,690,29813,1360,29303,988,1506,2142,16.49,-9.42,24.51,-19.83,7.91,-52.55,0.43,-34.38,47_0002575_0002599-reel_begin_end.tiff
11,33611,486,,,33004,1356,32329,994,1506,2142,19.16,-9.86,,,10.26,-52.35,0.38,-34.67,47_0002575_0002599-reel_begin_end.tiff
12,36756,547,,,35995,1352,35353,983,1506,2142,20.99,-12.84,,,9.84,-52.16,0.43,-34.14,47_0002575_0002599-reel_begin_end.tiff
