A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3137,401,3733,1129,3001,1371,2585,1031,1520,2544,9.49,-6.89,18.12,-41.6,7.52,-53.14,1.5,-36.92,46_0001275_0001299-reel_begin_end.tiff
2,6146,442,6782,1230,5958,1390,5579,1028,1520,2544,9.33,-8.84,18.54,-46.41,6.61,-54.04,1.13,-36.78,46_0001275_0001299-reel_begin_end.tiff
3,9156,428,9870,1231,8979,1373,8585,1009,1520,2544,9.33,-8.18,19.67,-46.46,6.77,-53.23,1.07,-35.88,46_0001275_0001299-reel_begin_end.tiff
4,12182,428,12815,1257,12002,1370,11619,1009,1520,2544,9.27,-8.18,18.44,-47.7,6.67,-53.09,1.13,-35.88,46_0001275_0001299-reel_begin_end.tiff
5,15206,391,15824,1208,14981,1370,14643,1015,1520,2544,9.33,-6.41,18.28,-45.36,6.08,-53.09,1.18,-36.16,46_0001275_0001299-reel_begin_end.tiff
6,18202,444,19060,1294,18026,1371,17639,1009,1520,2544,9.27,-8.94,21.69,-49.46,6.73,-53.14,1.13,-35.88,46_0001275_0001299-reel_begin_end.tiff
7,21236,397,21861,1250,21100,1371,20691,1035,1520,2544,9.33,-6.7,18.38,-47.37,7.36,-53.14,1.44,-37.12,46_0001275_0001299-reel_begin_end.tiff
8,24241,400,24690,909,24076,1366,23693,1006,1520,2544,9.12,-6.84,15.61,-31.11,6.73,-52.9,1.18,-35.73,46_0001275_0001299-reel_begin_end.tiff
9,27258,396,27678,934,27100,1367,26710,1027,1520,2544,9.22,-6.65,15.3,-32.3,6.93,-52.94,1.29,-36.73,46_0001275_0001299-reel_begin_end.tiff
10,30292,414,30851,1195,30127,1368,29740,1034,1520,2544,9.27,-7.51,17.36,-44.74,6.89,-52.99,1.29,-37.07,46_0001275_0001299-reel_begin_end.tiff
11,33295,417,33700,1013,33126,1368,32724,1015,1520,2544,9.17,-7.65,15.03,-36.07,6.73,-52.99,0.91,-36.16,46_0001275_0001299-reel_begin_end.tiff
12,36312,385,36699,895,36187,1372,35753,1011,1520,2544,9.27,-6.12,14.88,-30.44,7.47,-53.18,1.18,-35.97,46_0001275_0001299-reel_begin_end.tiff
