A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1626,427,2244,676,1460,1370,1078,1033,1513,1037,9.61,-7.93,18.72,-19.94,7.16,-53.42,1.54,-37.16,46_0001450_0001474-reel_begin_end.tiff
2,4636,403,5287,702,4474,1368,4069,1012,1513,1037,9.61,-6.77,19.2,-21.19,7.22,-53.32,1.26,-36.15,46_0001450_0001474-reel_begin_end.tiff
3,7669,441,8280,826,7511,1370,7114,1031,1513,1037,9.65,-8.6,18.66,-27.18,7.33,-53.42,1.48,-37.07,46_0001450_0001474-reel_begin_end.tiff
4,10694,438,11272,817,10510,1374,10127,1026,1513,1037,9.71,-8.46,18.23,-26.74,7.0,-53.61,1.36,-36.82,46_0001450_0001474-reel_begin_end.tiff
5,13689,390,14286,1023,13564,1380,13126,1017,1513,1037,9.49,-6.14,18.29,-36.68,7.65,-53.9,1.2,-36.39,46_0001450_0001474-reel_begin_end.tiff
6,16723,424,17282,965,16532,1376,16175,1034,1513,1037,9.55,-7.78,17.79,-33.88,6.74,-53.71,1.48,-37.21,46_0001450_0001474-reel_begin_end.tiff
7,19747,410,20332,1158,19566,1378,19176,1015,1513,1037,9.61,-7.11,18.23,-43.19,6.94,-53.81,1.2,-36.29,46_0001450_0001474-reel_begin_end.tiff
8,22757,436,23338,1256,22573,1377,22186,1021,1513,1037,9.61,-8.36,18.17,-47.92,6.9,-53.76,1.2,-36.58,46_0001450_0001474-reel_begin_end.tiff
9,25777,400,26568,1277,25644,1376,25210,1014,1513,1037,9.61,-6.63,21.26,-48.93,7.65,-53.71,1.26,-36.25,46_0001450_0001474-reel_begin_end.tiff
10,28807,422,29234,1182,28641,1378,28251,1035,1513,1037,9.61,-7.69,15.9,-44.35,7.16,-53.81,1.42,-37.26,46_0001450_0001474-reel_begin_end.tiff
12,34829,403,35359,1332,34679,1375,34292,1041,1513,1037,9.49,-6.77,17.3,-51.59,7.28,-53.66,1.58,-37.55,46_0001450_0001474-reel_begin_end.tiff
