A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3862,571,4431,503,3706,1341,3255,1009,1514,3251,9.29,-14.64,17.59,-11.35,7.01,-51.96,0.42,-35.87,46_0004700_0004724-reel_begin_end.tiff
2,6884,562,7441,708,6594,1339,6274,1008,1514,3251,9.17,-14.21,17.3,-21.28,4.93,-51.86,0.26,-35.82,46_0004700_0004724-reel_begin_end.tiff
3,9906,560,10456,894,9751,1345,9297,1006,1514,3251,9.2,-14.11,17.23,-30.3,6.93,-52.15,0.31,-35.73,46_0004700_0004724-reel_begin_end.tiff
4,12915,548,13437,596,12781,1348,12302,1008,1514,3251,9.33,-13.53,16.95,-15.86,7.37,-52.3,0.38,-35.82,46_0004700_0004724-reel_begin_end.tiff
5,15926,583,16472,564,15781,1348,15327,1009,1514,3251,9.05,-15.23,17.02,-14.31,6.93,-52.3,0.31,-35.87,46_0004700_0004724-reel_begin_end.tiff
6,18967,532,19511,565,18803,1345,18350,1008,1514,3251,9.36,-12.75,17.3,-14.35,6.96,-52.15,0.35,-35.82,46_0004700_0004724-reel_begin_end.tiff
7,21966,518,22527,592,21789,1351,21357,1010,1514,3251,9.2,-12.08,17.39,-15.66,6.61,-52.44,0.31,-35.92,46_0004700_0004724-reel_begin_end.tiff
8,24982,529,25504,561,24818,1349,24370,1008,1514,3251,9.29,-12.61,16.91,-14.16,6.89,-52.35,0.35,-35.82,46_0004700_0004724-reel_begin_end.tiff
9,28015,532,28529,717,27856,1347,27397,1008,1514,3251,9.33,-12.75,16.83,-21.72,7.01,-52.25,0.31,-35.82,46_0004700_0004724-reel_begin_end.tiff
10,31015,751,31553,743,30837,1348,30402,1008,1514,3251,9.33,-23.37,17.18,-22.98,6.73,-52.3,0.38,-35.82,46_0004700_0004724-reel_begin_end.tiff
11,34026,691,34529,603,33854,1349,33420,1010,1514,3251,9.2,-20.46,16.54,-16.2,6.69,-52.35,0.35,-35.92,46_0004700_0004724-reel_begin_end.tiff
