A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1594,443,2134,674,1453,1391,1008,1012,1509,1008,9.18,-7.98,17.2,-19.23,7.08,-54.12,0.47,-35.68,46_0001550_0001574-reel_begin_end.tiff
2,4629,433,5133,535,4542,1399,4038,1017,1509,1008,9.25,-7.5,16.74,-12.46,7.96,-54.51,0.47,-35.92,46_0001550_0001574-reel_begin_end.tiff
3,7649,448,8147,428,7496,1390,7053,1012,1509,1008,9.25,-8.23,16.65,-7.25,6.98,-54.07,0.4,-35.68,46_0001550_0001574-reel_begin_end.tiff
4,10655,471,11169,730,10538,1391,10066,1012,1509,1008,9.34,-9.35,16.98,-21.95,7.6,-54.12,0.59,-35.68,46_0001550_0001574-reel_begin_end.tiff
5,13682,436,14206,777,13533,1388,13088,1010,1509,1008,9.3,-7.64,17.08,-24.24,7.08,-53.98,0.47,-35.58,46_0001550_0001574-reel_begin_end.tiff
6,16707,455,17279,967,16559,1390,16108,1013,1509,1008,9.37,-8.57,17.87,-33.49,7.17,-54.07,0.47,-35.73,46_0001550_0001574-reel_begin_end.tiff
7,19712,421,20242,788,19563,1392,19113,1016,1509,1008,9.3,-6.91,17.17,-24.78,7.08,-54.17,0.4,-35.87,46_0001550_0001574-reel_begin_end.tiff
8,22732,471,,,22594,1386,22130,1017,1509,1008,9.3,-9.35,,,7.25,-53.88,0.35,-35.92,46_0001550_0001574-reel_begin_end.tiff
9,25765,445,,,25606,1387,25163,1013,1509,1008,9.34,-8.08,,,6.98,-53.93,0.4,-35.73,46_0001550_0001574-reel_begin_end.tiff
10,28778,434,,,28613,1387,28174,1010,1509,1008,9.53,-7.55,,,7.08,-53.93,0.56,-35.58,46_0001550_0001574-reel_begin_end.tiff
11,31787,440,,,31668,1392,31186,1016,1509,1008,9.37,-7.84,,,7.6,-54.17,0.44,-35.87,46_0001550_0001574-reel_begin_end.tiff
12,34812,432,,,34690,1391,34221,1013,1509,1008,9.3,-7.45,,,7.48,-54.12,0.52,-35.73,46_0001550_0001574-reel_begin_end.tiff
