A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1237.0,435.0,1886.0,687.0,1067,1392,642,1013,1504,639,9.16,-8.17,19.1,-20.36,6.55,-54.48,0.04,-36.14,128,46_0000000_0000024-reel_begin_end,83,-79.780807,164.189407
2,4241.0,424.0,4875.0,705.0,4088,1389,3653,1006,1504,639,9.22,-7.64,18.94,-21.23,6.88,-54.33,0.21,-35.8,128,46_0000000_0000024-reel_begin_end,84,-79.800003,164.164398
3,7257.0,438.0,7732.0,1213.0,7079,1388,6670,1011,1504,639,9.16,-8.31,16.44,-45.82,6.43,-54.28,0.16,-36.04,128,46_0000000_0000024-reel_begin_end,85,-79.816605,164.142197
5,13293.0,397.0,13888.0,598.0,13152,1389,12702,1007,1504,639,9.1,-6.33,18.21,-16.06,6.94,-54.33,0.04,-35.85,128,46_0000000_0000024-reel_begin_end,86,-79.8358,164.117096
6,16304.0,398.0,16892.0,716.0,16148,1391,15710,1011,1504,639,9.27,-6.38,18.28,-21.77,6.88,-54.43,0.16,-36.04,128,46_0000000_0000024-reel_begin_end,87,-79.853699,164.094894
7,19342.0,444.0,19911.0,634.0,19167,1389,18740,1007,1504,639,9.39,-8.6,18.11,-17.8,6.71,-54.33,0.16,-35.85,128,46_0000000_0000024-reel_begin_end,88,-79.870193,164.071304
8,22351.0,426.0,22909.0,683.0,22177,1388,21756,1008,1504,639,9.22,-7.73,17.77,-20.17,6.55,-54.28,0.1,-35.9,128,46_0000000_0000024-reel_begin_end,89,-79.889496,164.040802
9,25353.0,406.0,25915.0,534.0,25226,1386,24766,1008,1504,639,9.1,-6.77,17.71,-12.96,7.15,-54.19,0.1,-35.9,128,46_0000000_0000024-reel_begin_end,90,-79.908798,164.0103
10,28387.0,414.0,28927.0,683.0,28231,1391,27792,1009,1504,639,9.16,-7.15,17.43,-20.17,6.77,-54.43,0.04,-35.94,128,46_0000000_0000024-reel_begin_end,91,-79.926697,163.979797
11,31407.0,422.0,32085.0,952.0,31262,1387,30812,1009,1504,639,9.16,-7.54,19.55,-33.19,6.94,-54.24,0.04,-35.94,128,46_0000000_0000024-reel_begin_end,92,-79.943207,163.954803
12,34418.0,459.0,34965.0,752.0,34291,1388,33812,1010,1504,639,9.33,-9.33,17.71,-23.51,7.38,-54.28,0.04,-35.99,128,46_0000000_0000024-reel_begin_end,93,-79.962494,163.928497
1,2734.0,386.0,3448.0,687.0,2603,1396,2146,1018,1515,2139,9.03,-5.27,19.65,-19.84,7.09,-54.14,0.29,-35.85,128,46_0000025_0000049-reel_begin_end,71,-79.561905,164.538605
2,5740.0,392.0,6451.0,669.0,5570,1384,5153,1005,1515,2139,8.97,-5.56,19.54,-18.97,6.45,-53.56,0.25,-35.22,128,46_0000025_0000049-reel_begin_end,72,-79.581207,164.5177
3,8770.0,441.0,9484.0,727.0,8621,1388,8186,1007,1515,2139,8.97,-7.93,19.59,-21.77,6.76,-53.76,0.29,-35.32,128,46_0000025_0000049-reel_begin_end,73,-79.599106,164.488602
4,11783.0,381.0,12482.0,665.0,11634,1388,11203,1006,1515,2139,8.87,-5.03,19.26,-18.77,6.66,-53.76,0.25,-35.27,128,46_0000025_0000049-reel_begin_end,74,-79.617004,164.458206
