A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3121,227,3578,347,2972,1347,2505,960,1507,2498,9.13,1.9,15.81,-3.91,6.96,-52.3,0.14,-33.57,46_0000275_0000299-reel_begin_end.tiff
2,6148,225,6594,614,5996,1348,5525,959,1507,2498,9.23,1.99,15.75,-16.83,7.01,-52.35,0.14,-33.52,46_0000275_0000299-reel_begin_end.tiff
3,9178,225,9642,586,9022,1349,8558,954,1507,2498,9.23,1.99,16.01,-15.48,6.96,-52.4,0.18,-33.28,46_0000275_0000299-reel_begin_end.tiff
4,12184,225,12677,644,12061,1348,11575,957,1507,2498,9.03,1.99,16.23,-18.28,7.23,-52.35,0.14,-33.43,46_0000275_0000299-reel_begin_end.tiff
5,15201,225,15897,838,15045,1346,14585,947,1507,2498,9.13,1.99,19.3,-27.67,6.85,-52.25,0.14,-32.94,46_0000275_0000299-reel_begin_end.tiff
6,18235,225,18673,238,18104,1353,17611,947,1507,2498,9.19,1.99,15.59,1.36,7.28,-52.59,0.08,-32.94,46_0000275_0000299-reel_begin_end.tiff
7,21248,225,21691,369,21063,1344,20625,941,1507,2498,9.23,1.99,15.7,-4.97,6.53,-52.15,0.14,-32.65,46_0000275_0000299-reel_begin_end.tiff
8,24262,225,24686,497,24121,1346,23638,936,1507,2498,9.29,1.99,15.48,-11.17,7.23,-52.25,0.18,-32.41,46_0000275_0000299-reel_begin_end.tiff
9,27291,225,27690,670,27103,1346,26668,936,1507,2498,9.13,1.99,14.96,-19.54,6.39,-52.25,0.03,-32.41,46_0000275_0000299-reel_begin_end.tiff
10,30308,225,30722,731,30156,1347,29685,936,1507,2498,9.23,1.99,15.28,-22.49,7.01,-52.3,0.14,-32.41,46_0000275_0000299-reel_begin_end.tiff
11,33315,225,33721,770,33141,1345,32695,936,1507,2498,9.19,1.99,15.12,-24.38,6.65,-52.2,0.14,-32.41,46_0000275_0000299-reel_begin_end.tiff
12,36345,225,36769,837,36167,1352,35721,939,1507,2498,9.19,1.99,15.38,-27.62,6.59,-52.54,0.08,-32.56,46_0000275_0000299-reel_begin_end.tiff
