A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2379,598,2777,559,2225,1343,1754,1008,1517,1756,9.51,-15.82,15.29,-13.93,7.27,-51.93,0.42,-35.69,46_0004525_0004549-reel_begin_end.tiff
2,5393,538,5791,574,5229,1345,4768,1010,1517,1756,9.42,-12.92,15.2,-14.66,7.03,-52.03,0.33,-35.79,46_0004525_0004549-reel_begin_end.tiff
3,8402,578,8791,549,8212,1337,7774,1006,1517,1756,9.55,-14.86,15.2,-13.45,6.79,-51.64,0.42,-35.6,46_0004525_0004549-reel_begin_end.tiff
4,11426,570,11810,526,11248,1343,10798,1009,1517,1756,9.46,-14.47,15.04,-12.34,6.87,-51.93,0.33,-35.74,46_0004525_0004549-reel_begin_end.tiff
5,14446,594,14838,507,14306,1343,13824,1009,1517,1756,9.46,-15.63,15.16,-11.41,7.43,-51.93,0.42,-35.74,46_0004525_0004549-reel_begin_end.tiff
6,17454,567,17827,499,17251,1347,16824,1008,1517,1756,9.58,-14.32,15.0,-11.03,6.63,-52.12,0.42,-35.69,46_0004525_0004549-reel_begin_end.tiff
7,20473,568,20849,500,20292,1347,19851,1011,1517,1756,9.42,-14.37,14.88,-11.08,6.79,-52.12,0.38,-35.84,46_0004525_0004549-reel_begin_end.tiff
8,23491,596,23869,502,23326,1344,22865,1011,1517,1756,9.39,-15.73,14.88,-11.17,6.99,-51.98,0.29,-35.84,46_0004525_0004549-reel_begin_end.tiff
9,26496,563,26869,503,26323,1349,25868,1013,1517,1756,9.46,-14.13,14.88,-11.22,6.95,-52.22,0.33,-35.94,46_0004525_0004549-reel_begin_end.tiff
10,29516,550,29886,489,29352,1346,28894,1009,1517,1756,9.46,-13.5,14.84,-10.54,7.08,-52.07,0.42,-35.74,46_0004525_0004549-reel_begin_end.tiff
11,32547,609,32906,465,32385,1346,31919,1008,1517,1756,9.62,-16.36,14.84,-9.38,7.27,-52.07,0.49,-35.69,46_0004525_0004549-reel_begin_end.tiff
12,35546,561,35914,495,35371,1342,34918,1016,1517,1756,9.46,-14.03,14.81,-10.83,6.92,-51.88,0.33,-36.08,46_0004525_0004549-reel_begin_end.tiff
