A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2003,421,2624,883,1856,1510,1406,1128,1593,1397,9.43,-3.04,18.7,-25.56,7.24,-56.13,0.52,-37.51,43_0009650_0009674-reel_begin_end.tiff
2,5099,491,5714,792,4943,1509,4508,1133,1593,1397,9.52,-6.45,18.7,-21.13,7.2,-56.08,0.7,-37.75,43_0009650_0009674-reel_begin_end.tiff
3,8192,446,8795,803,8070,1514,7586,1130,1593,1397,9.57,-4.26,18.57,-21.66,7.75,-56.32,0.52,-37.6,43_0009650_0009674-reel_begin_end.tiff
4,11295,432,11914,802,11126,1512,10689,1130,1593,1397,9.61,-3.58,18.85,-21.61,7.09,-56.23,0.57,-37.6,43_0009650_0009674-reel_begin_end.tiff
5,14389,471,15017,1102,14229,1512,13789,1130,1593,1397,9.52,-5.48,18.9,-36.24,7.14,-56.23,0.57,-37.6,43_0009650_0009674-reel_begin_end.tiff
6,17482,421,18091,1177,17323,1512,16873,1132,1593,1397,9.57,-3.04,18.66,-39.9,7.2,-56.23,0.48,-37.7,43_0009650_0009674-reel_begin_end.tiff
7,20486,429,21099,888,20361,1511,19893,1134,1593,1397,9.33,-3.43,18.48,-25.81,7.46,-56.18,0.48,-37.8,43_0009650_0009674-reel_begin_end.tiff
8,23513,475,24109,750,23378,1515,22919,1131,1593,1397,9.43,-5.67,18.33,-19.08,7.42,-56.37,0.57,-37.65,43_0009650_0009674-reel_begin_end.tiff
9,26603,442,27193,664,26449,1511,26009,1130,1593,1397,9.43,-4.06,18.24,-14.89,7.14,-56.18,0.57,-37.6,43_0009650_0009674-reel_begin_end.tiff
10,29623,429,30222,899,29510,1515,29020,1134,1593,1397,9.43,-3.43,18.38,-26.34,7.75,-56.37,0.43,-37.8,43_0009650_0009674-reel_begin_end.tiff
11,32729,445,33320,663,32598,1513,32136,1131,1593,1397,9.37,-4.21,18.2,-14.84,7.42,-56.27,0.52,-37.65,43_0009650_0009674-reel_begin_end.tiff
12,35733,414,36323,673,35598,1514,35133,1134,1593,1397,9.43,-2.7,18.24,-15.33,7.42,-56.32,0.48,-37.8,43_0009650_0009674-reel_begin_end.tiff
