A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1580.0,441.0,1838.0,1105.0,952,1451,120.0,1181.0,1604,117,22.94,-3.63,26.79,-36.44,13.59,-53.53,1.19,-40.19,141,43_0008525_0008549-reel_begin_end,110,-79.542892,169.973999
2,4587.0,488.0,4751.0,1005.0,4006,1422,3137.0,1193.0,1604,117,23.05,-5.95,25.49,-31.5,14.39,-52.1,1.44,-40.78,141,43_0008525_0008549-reel_begin_end,111,-79.566193,170.010406
3,7597.0,454.0,7741.0,733.0,6909,1424,6144.0,1184.0,1604,117,22.9,-4.27,25.05,-18.06,12.65,-52.2,1.25,-40.34,141,43_0008525_0008549-reel_begin_end,112,-79.590805,170.045502
4,10587.0,489.0,10734.0,799.0,9986,1437,9134.0,1181.0,1604,117,22.9,-6.0,25.09,-21.32,13.94,-52.84,1.25,-40.19,141,43_0008525_0008549-reel_begin_end,113,-79.615402,170.080505
5,13590.0,476.0,13741.0,948.0,12956,1410,12144.0,1190.0,1604,117,22.8,-5.36,25.05,-28.68,13.35,-51.5,1.25,-40.63,141,43_0008525_0008549-reel_begin_end,114,-79.638702,170.118195
6,16610.0,472.0,16754.0,709.0,15785,1411,15154.0,1181.0,1604,117,22.94,-5.16,25.09,-16.87,10.65,-51.55,1.25,-40.19,141,43_0008525_0008549-reel_begin_end,115,-79.663406,170.153198
7,19617.0,507.0,19922.0,1048.0,18825,1403,18150.0,1179.0,1604,117,23.05,-6.89,27.59,-33.62,11.25,-51.16,1.19,-40.09,141,43_0008525_0008549-reel_begin_end,116,-79.689407,170.185501
8,22617.0,503.0,,,21949,1395,21157.0,1194.0,1604,117,23.05,-6.69,,,13.09,-50.76,1.29,-40.83,141,43_0008525_0008549-reel_begin_end,117,-79.712708,170.2164
9,25633.0,556.0,25935.0,1242.0,24996,1395,24174.0,1195.0,1604,117,23.14,-9.31,27.64,-43.2,13.65,-50.76,1.39,-40.88,141,43_0008525_0008549-reel_begin_end,118,-79.737305,170.262405
10,28630.0,487.0,,,27992,1383,27160.0,1186.0,1604,117,23.09,-5.9,,,13.59,-50.17,1.19,-40.44,141,43_0008525_0008549-reel_begin_end,119,-79.760605,170.320694
11,31627.0,534.0,31774.0,931.0,30935,1382,30164.0,1187.0,1604,117,23.05,-8.23,25.24,-27.84,12.74,-50.12,1.25,-40.49,141,43_0008525_0008549-reel_begin_end,120,-79.782501,170.379105
12,34643.0,535.0,34794.0,1117.0,33956,1390,33177.0,1182.0,1604,117,23.14,-8.28,25.39,-37.03,12.9,-50.52,1.29,-40.24,141,43_0008525_0008549-reel_begin_end,121,-79.805801,170.444305
1,3087.0,523.0,3402.0,1220.0,2392,1464,1620.0,1175.0,1598,1620,22.88,-8.04,27.52,-42.09,12.64,-54.02,1.26,-39.89,141,43_0008550_0008574-reel_begin_end,123,-79.846802,170.585602
2,6097.0,496.0,6298.0,1084.0,5449,1468,4637.0,1185.0,1598,1620,22.88,-6.72,25.84,-35.45,13.33,-54.21,1.36,-40.38,141,43_0008550_0008574-reel_begin_end,124,-79.868698,170.6604
3,9103.0,472.0,9247.0,818.0,8506,1443,7654.0,1194.0,1598,1620,22.82,-5.54,24.94,-22.45,14.02,-52.99,1.46,-40.82,141,43_0008550_0008574-reel_begin_end,125,-79.890594,170.705002
4,12100.0,470.0,,,11258,1403,10647.0,1196.0,1598,1620,22.78,-5.45,,,10.37,-51.04,1.36,-40.92,141,43_0008550_0008574-reel_begin_end,126,-79.915298,170.753693
5,15107.0,454.0,15244.0,850.0,14472,1413,13644.0,1175.0,1598,1620,22.88,-4.66,24.9,-24.01,13.52,-51.52,1.32,-39.89,141,43_0008550_0008574-reel_begin_end,127,-79.941299,170.8134
6,18120.0,522.0,18325.0,1066.0,17409,1418,16650.0,1171.0,1598,1620,22.92,-7.99,25.94,-34.57,12.44,-51.77,1.26,-39.7,141,43_0008550_0008574-reel_begin_end,128,-79.963196,170.867493
7,21106.0,523.0,21418.0,1306.0,20486,1457,19644.0,1172.0,1598,1620,22.72,-8.04,27.32,-46.3,13.58,-53.67,1.17,-39.75,141,43_0008550_0008574-reel_begin_end,129,-79.986496,170.923096
8,24123.0,513.0,24375.0,1249.0,23680,1463,22650.0,1181.0,1598,1620,22.97,-7.55,26.68,-43.51,16.44,-53.97,1.26,-40.19,141,43_0008550_0008574-reel_begin_end,130,-80.008408,170.979996
10,30133.0,491.0,30428.0,1322.0,29466,1453,28657.0,1182.0,1598,1620,22.97,-6.47,27.32,-47.08,13.14,-53.48,1.21,-40.24,141,43_0008550_0008574-reel_begin_end,131,-80.031693,171.030106
11,33137.0,527.0,33479.0,1328.0,32536,1460,31660.0,1185.0,1598,1620,23.03,-8.23,28.07,-47.37,14.17,-53.82,1.26,-40.38,141,43_0008550_0008574-reel_begin_end,132,-80.053604,171.087006
12,36153.0,499.0,36324.0,1012.0,35492,1464,34677.0,1171.0,1598,1620,22.97,-6.86,25.49,-31.93,13.22,-54.02,1.21,-39.7,141,43_0008550_0008574-reel_begin_end,133,-80.078201,171.128799
1,1593.0,530.0,1909.0,1205.0,983,1470,137.0,1194.0,1594,127,22.97,-8.03,27.63,-41.38,13.98,-54.47,1.51,-40.83,141,43_0008575_0008599-reel_begin_end,135,-80.123398,171.224701
2,4593.0,527.0,4724.0,945.0,3741,1469,3141.0,1206.0,1594,127,22.97,-7.88,24.9,-28.53,10.41,-54.42,1.57,-41.43,141,43_0008575_0008599-reel_begin_end,136,-80.149399,171.285706
3,7607.0,530.0,7754.0,961.0,7019,1476,6140.0,1175.0,1594,127,23.03,-8.03,25.19,-29.32,14.36,-54.76,1.4,-39.89,141,43_0008575_0008599-reel_begin_end,137,-80.171402,171.348206
4,10607.0,528.0,10892.0,1161.0,9986,1498,9150.0,1186.0,1594,127,22.88,-7.93,27.08,-39.2,13.73,-55.85,1.4,-40.44,141,43_0008575_0008599-reel_begin_end,138,-80.194702,171.406403
5,13610.0,509.0,13781.0,1089.0,12966,1500,12140.0,1177.0,1594,127,23.07,-6.99,25.59,-35.65,13.58,-55.95,1.4,-39.99,141,43_0008575_0008599-reel_begin_end,139,-80.213806,171.471497
6,16617.0,480.0,,,15956,1500,15150.0,1175.0,1594,127,23.03,-5.56,,,13.28,-55.95,1.4,-39.89,141,43_0008575_0008599-reel_begin_end,140,-80.238495,171.524307
7,19627.0,510.0,19801.0,976.0,18959,1500,18164.0,1190.0,1594,127,23.03,-7.04,25.59,-30.06,13.18,-55.95,1.46,-40.63,141,43_0008575_0008599-reel_begin_end,141,-80.260406,171.571503
8,22623.0,503.0,22915.0,1304.0,21946,1503,21154.0,1189.0,1594,127,23.11,-6.69,27.42,-46.27,13.14,-56.1,1.46,-40.59,141,43_0008575_0008599-reel_begin_end,142,-80.285004,171.625702
9,25637.0,534.0,25878.0,1265.0,24935,1502,24164.0,1185.0,1594,127,23.17,-8.23,26.73,-44.34,12.83,-56.05,1.46,-40.39,141,43_0008575_0008599-reel_begin_end,143,-80.3069,171.679794
10,28647.0,519.0,28788.0,966.0,27976,1503,27167.0,1173.0,1594,127,23.17,-7.49,25.25,-29.57,13.28,-56.1,1.36,-39.79,141,43_0008575_0008599-reel_begin_end,144,-80.327393,171.744904
11,31637.0,503.0,31767.0,843.0,30929,1504,30174.0,1196.0,1594,127,23.03,-6.69,24.94,-23.49,12.59,-56.15,1.46,-40.93,141,43_0008575_0008599-reel_begin_end,145,-80.350693,171.814102
12,34643.0,499.0,34774.0,841.0,34006,1503,33174.0,1188.0,1594,127,23.11,-6.5,25.05,-23.39,13.73,-56.1,1.46,-40.54,141,43_0008575_0008599-reel_begin_end,146,-80.375397,171.873596
1,3096.0,484.0,3230.0,882.0,2412,1504,1623.0,1175.0,1601,1617,22.85,-6.03,24.8,-25.58,12.88,-56.14,1.37,-39.98,141,43_0008600_0008624-reel_begin_end,148,-80.420593,171.984604
2,6100.0,498.0,6230.0,987.0,5442,1504,4620.0,1177.0,1601,1617,22.91,-6.71,24.8,-30.74,13.31,-56.14,1.33,-40.07,141,43_0008600_0008624-reel_begin_end,149,-80.441101,172.039993
3,9113.0,511.0,9250.0,906.0,8472,1502,7650.0,1188.0,1601,1617,22.95,-7.35,24.95,-26.76,13.61,-56.04,1.62,-40.62,141,43_0008600_0008624-reel_begin_end,150,-80.464401,172.106506
4,12100.0,514.0,12425.0,1298.0,11429,1504,10633.0,1170.0,1601,1617,22.76,-7.5,27.5,-46.02,12.98,-56.14,1.37,-39.73,141,43_0008600_0008624-reel_begin_end,151,-80.486298,172.179794
5,15106.0,495.0,15314.0,1051.0,14475,1504,13630.0,1171.0,1601,1617,22.85,-6.57,25.88,-33.88,13.65,-56.14,1.33,-39.78,141,43_0008600_0008624-reel_begin_end,152,-80.509598,172.240707
6,18123.0,486.0,18465.0,1341.0,17526,1504,16647.0,1176.0,1601,1617,22.95,-6.13,27.94,-48.13,14.25,-56.14,1.43,-40.03,141,43_0008600_0008624-reel_begin_end,153,-80.534195,172.285095
7,21126.0,477.0,21428.0,1327.0,20485,1504,19660.0,1188.0,1601,1617,22.99,-5.68,27.4,-47.44,13.65,-56.14,1.62,-40.62,141,43_0008600_0008624-reel_begin_end,154,-80.557495,172.341995
