A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2366,604,3208,1014,2221,1519,1789,1184,1604,1792,9.21,-11.28,21.69,-31.65,7.06,-56.73,0.66,-40.09,43_0009150_0009174-reel_begin_end.tiff
2,5372,675,6500,1335,5232,1512,4799,1206,1604,1792,9.3,-14.8,26.02,-47.59,7.23,-56.38,0.81,-41.18,43_0009150_0009174-reel_begin_end.tiff
3,8359,650,9262,949,8208,1525,7782,1191,1604,1792,9.11,-13.56,22.49,-28.42,6.87,-57.03,0.56,-40.44,43_0009150_0009174-reel_begin_end.tiff
4,11386,684,12449,1214,11272,1527,10795,1191,1604,1792,9.36,-15.25,25.11,-41.58,7.67,-57.13,0.6,-40.44,43_0009150_0009174-reel_begin_end.tiff
5,14409,592,15355,1308,14262,1528,13795,1190,1604,1792,9.7,-10.68,23.72,-46.25,7.52,-57.18,0.6,-40.39,43_0009150_0009174-reel_begin_end.tiff
6,17393,650,18100,1120,17255,1527,16805,1211,1604,1792,9.46,-13.56,19.94,-36.91,7.42,-57.13,0.75,-41.43,43_0009150_0009174-reel_begin_end.tiff
7,20396,626,21134,1100,20245,1525,19812,1194,1604,1792,9.36,-12.37,20.3,-35.92,7.12,-57.03,0.7,-40.59,43_0009150_0009174-reel_begin_end.tiff
8,23423,566,24245,1285,23251,1519,22819,1188,1604,1792,9.61,-9.39,21.79,-45.11,7.06,-56.73,0.66,-40.29,43_0009150_0009174-reel_begin_end.tiff
9,26399,693,27402,1376,26275,1521,25822,1218,1604,1792,9.26,-15.7,24.12,-49.63,7.42,-56.83,0.7,-41.78,43_0009150_0009174-reel_begin_end.tiff
10,29416,653,30201,1341,29272,1523,28822,1196,1604,1792,9.51,-13.71,21.14,-47.89,7.37,-56.93,0.7,-40.69,43_0009150_0009174-reel_begin_end.tiff
11,32426,658,33181,1221,32261,1521,31835,1197,1604,1792,9.51,-13.96,20.7,-41.93,7.06,-56.83,0.75,-40.74,43_0009150_0009174-reel_begin_end.tiff
12,35429,677,36040,1326,35245,1528,34825,1199,1604,1792,9.55,-14.9,18.61,-47.14,6.83,-57.18,0.6,-40.84,43_0009150_0009174-reel_begin_end.tiff
