A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2383,629,3416,1434,2228,1525,1782,1183,1604,1782,9.44,-12.66,24.58,-52.21,7.17,-56.68,0.63,-39.88,43_0009100_0009124-reel_begin_end.tiff
2,5383,641,6490,1312,5218,1524,4782,1185,1604,1782,9.44,-13.25,25.67,-46.21,7.02,-56.63,0.63,-39.97,43_0009100_0009124-reel_begin_end.tiff
3,8393,678,9369,1462,8258,1523,7799,1197,1604,1782,9.44,-15.06,23.75,-53.58,7.46,-56.58,0.73,-40.56,43_0009100_0009124-reel_begin_end.tiff
4,11416,622,12459,1374,11255,1519,10819,1200,1604,1782,9.49,-12.31,24.78,-49.26,7.13,-56.38,0.73,-40.71,43_0009100_0009124-reel_begin_end.tiff
5,14419,658,15278,1458,14238,1523,13815,1186,1604,1782,9.53,-14.08,22.12,-53.39,6.88,-56.58,0.68,-40.02,43_0009100_0009124-reel_begin_end.tiff
6,17429,636,18131,1404,17248,1520,16822,1186,1604,1782,9.68,-13.0,19.97,-50.73,7.02,-56.43,0.78,-40.02,43_0009100_0009124-reel_begin_end.tiff
7,20456,620,,,20308,1522,19852,1201,1604,1782,9.63,-12.21,,,7.46,-56.53,0.78,-40.76,43_0009100_0009124-reel_begin_end.tiff
8,23546,623,24355,1438,23382,1521,22935,1187,1604,1782,9.63,-12.36,21.49,-52.4,7.23,-56.48,0.68,-40.07,43_0009100_0009124-reel_begin_end.tiff
9,26536,652,27170,1447,26338,1530,25922,1189,1604,1782,9.49,-13.79,18.78,-52.85,6.58,-56.92,0.49,-40.17,43_0009100_0009124-reel_begin_end.tiff
10,29563,649,30267,1398,29368,1526,28962,1199,1604,1782,9.59,-13.64,19.91,-50.44,6.73,-56.73,0.78,-40.66,43_0009100_0009124-reel_begin_end.tiff
11,32576,647,,,32455,1528,31955,1188,1604,1782,9.78,-13.54,,,8.01,-56.83,0.68,-40.12,43_0009100_0009124-reel_begin_end.tiff
12,35663,648,36304,1365,35475,1531,35039,1189,1604,1782,9.88,-13.59,19.28,-48.82,7.13,-56.97,0.73,-40.17,43_0009100_0009124-reel_begin_end.tiff
