A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2734,596,2887,787,1658,1456,1244,1089,1591,4358,22.64,-10.09,24.97,-19.84,6.25,-54.01,-0.05,-35.27,39_0001000_0001024-reel_begin_end.tiff
2,5869,589,6047,1116,4586,1455,4368,1092,1591,4358,22.87,-9.73,25.58,-36.65,3.33,-53.96,0.01,-35.42,39_0001000_0001024-reel_begin_end.tiff
3,8887,646,9054,1079,7604,1452,7375,1095,1591,4358,23.14,-12.64,25.69,-34.76,3.6,-53.81,0.12,-35.57,39_0001000_0001024-reel_begin_end.tiff
4,11911,618,12070,929,10609,1447,10395,1091,1591,4358,23.2,-11.21,25.63,-27.1,3.38,-53.55,0.12,-35.37,39_0001000_0001024-reel_begin_end.tiff
5,14944,613,15126,900,13665,1436,13422,1088,1591,4358,23.25,-10.95,26.02,-25.61,3.77,-52.99,0.07,-35.22,39_0001000_0001024-reel_begin_end.tiff
6,17972,593,18128,746,16830,1444,16442,1089,1591,4358,23.37,-9.93,25.75,-17.75,5.98,-53.4,0.07,-35.27,39_0001000_0001024-reel_begin_end.tiff
7,20990,628,21138,675,19695,1436,19445,1089,1591,4358,23.65,-11.72,25.9,-14.12,3.92,-52.99,0.12,-35.27,39_0001000_0001024-reel_begin_end.tiff
8,24026,604,24178,797,22685,1438,22478,1089,1591,4358,23.59,-10.5,25.9,-20.35,3.16,-53.09,0.01,-35.27,39_0001000_0001024-reel_begin_end.tiff
9,27054,638,27199,593,25890,1445,25499,1090,1591,4358,23.86,-12.23,26.07,-9.93,6.13,-53.45,0.18,-35.32,39_0001000_0001024-reel_begin_end.tiff
10,30072,641,30227,691,28882,1442,28498,1094,1591,4358,23.98,-12.39,26.34,-14.94,5.86,-53.3,0.01,-35.52,39_0001000_0001024-reel_begin_end.tiff
11,33102,601,33254,687,31775,1433,31532,1089,1591,4358,23.98,-10.34,26.3,-14.73,3.77,-52.84,0.07,-35.27,39_0001000_0001024-reel_begin_end.tiff
12,36122,606,36288,829,34954,1443,34555,1087,1591,4358,23.98,-10.6,26.51,-21.99,6.19,-53.35,0.12,-35.17,39_0001000_0001024-reel_begin_end.tiff
