A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,5438,735,5554,675,4597,1414,4271,1092,1591,4267,17.69,-19.1,19.45,-16.25,4.96,-51.39,0.03,-36.08,39_0000950_0000974-reel_begin_end.tiff
2,2397,743,2502,757,1527,1452,1255,1088,1591,4267,17.38,-19.49,18.96,-20.15,4.21,-53.2,0.09,-35.89,39_0000950_0000974-reel_begin_end.tiff
3,5449,732,5554,675,4768,1420,4275,1089,1591,4267,17.86,-18.96,19.45,-16.25,7.55,-51.68,0.09,-35.94,39_0000950_0000974-reel_begin_end.tiff
4,8543,531,8673,710,7956,1441,7361,1091,1591,4267,17.92,-9.4,19.89,-17.92,9.03,-52.68,0.03,-36.03,39_0000950_0000974-reel_begin_end.tiff
5,11581,556,11777,946,10765,1423,10388,1088,1591,4267,18.19,-10.59,21.16,-29.14,5.84,-51.82,0.13,-35.89,39_0000950_0000974-reel_begin_end.tiff
6,14633,579,14792,793,13824,1416,13415,1089,1591,4267,18.53,-11.69,20.93,-21.86,6.28,-51.49,0.09,-35.94,39_0000950_0000974-reel_begin_end.tiff
7,17736,538,17871,669,16895,1416,16507,1090,1591,4267,18.57,-9.74,20.61,-15.97,5.84,-51.49,-0.03,-35.99,39_0000950_0000974-reel_begin_end.tiff
8,20779,596,20931,865,19956,1435,19521,1098,1591,4267,19.07,-12.49,21.37,-25.29,6.61,-52.39,0.03,-36.37,39_0000950_0000974-reel_begin_end.tiff
9,23910,623,24055,882,23036,1435,22641,1091,1591,4267,19.24,-13.78,21.43,-26.1,6.01,-52.39,0.03,-36.03,39_0000950_0000974-reel_begin_end.tiff
10,26927,614,27079,807,26082,1448,25655,1094,1591,4267,19.34,-13.35,21.64,-22.53,6.55,-53.01,0.09,-36.18,39_0000950_0000974-reel_begin_end.tiff
11,29966,587,30129,920,29082,1451,28665,1089,1591,4267,19.78,-12.07,22.25,-27.9,6.4,-53.15,0.09,-35.94,39_0000950_0000974-reel_begin_end.tiff
12,33097,601,33228,651,32173,1454,31777,1102,1591,4267,19.95,-12.73,21.93,-15.11,5.96,-53.3,-0.03,-36.56,39_0000950_0000974-reel_begin_end.tiff
13,36212,626,36342,681,35483,1460,34881,1090,1591,4267,20.18,-13.92,22.14,-16.54,9.14,-53.58,0.03,-35.99,39_0000950_0000974-reel_begin_end.tiff
