A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
3,9228,300,9398,842,9145,1620,9045,1092,1594,2838,2.73,2.78,5.28,-23.59,1.48,-61.45,-0.02,-35.76,115,39_0000875_0000899-reel_begin_end,32,-78.407025,167.416954
4,12359,300,12553,1001,12248,1625,12145,1093,1594,2838,3.2,2.78,6.11,-31.33,1.53,-61.7,-0.02,-35.81,115,39_0000875_0000899-reel_begin_end,33,-78.425386,167.431797
5,15469,300,15705,930,15324,1626,15223,1091,1594,2838,3.62,2.78,7.16,-27.87,1.44,-61.75,-0.08,-35.71,115,39_0000875_0000899-reel_begin_end,34,-78.443679,167.448636
6,18581,300,18851,928,18390,1629,18293,1091,1594,2838,4.25,2.78,8.3,-27.78,1.38,-61.89,-0.08,-35.71,115,39_0000875_0000899-reel_begin_end,35,-78.461898,167.467382
7,21759,300,22064,899,21659,1341,21427,1092,1594,2838,4.97,2.78,9.55,-26.37,3.47,-47.88,-0.02,-35.76,115,39_0000875_0000899-reel_begin_end,36,-78.480127,167.485957
8,24880,300,25237,914,24749,1275,24510,1092,1594,2838,5.43,2.78,10.8,-27.1,3.47,-44.66,-0.12,-35.76,115,39_0000875_0000899-reel_begin_end,37,-78.49824,167.5071
12,37341,479,38321,981,37078,1390,36828,1093,1594,2838,10.02,-5.93,24.74,-30.36,6.06,-50.26,2.31,-35.81,115,39_0000875_0000899-reel_begin_end,38,-78.516336,167.528749
1,1789,283,2242,883,1488,1387,1256,1093,1594,1252,7.9,3.06,14.64,-25.81,3.43,-50.05,-0.02,-35.91,115,39_0000900_0000924-reel_begin_end,45,-78.643689,167.666409
2,4911,282,5103,672,4592,1374,4346,1093,1594,1252,8.38,3.11,11.23,-15.66,3.64,-49.43,-0.02,-35.91,115,39_0000900_0000924-reel_begin_end,46,-78.662067,167.681122
4,11069,323,11316,646,10740,1392,10522,1094,1594,1252,8.05,1.13,11.72,-14.41,3.16,-50.29,-0.08,-35.96,115,39_0000900_0000924-reel_begin_end,47,-78.680177,167.702103
5,14185,524,14598,765,13840,1381,13616,1093,1594,1252,8.44,-8.54,14.58,-20.13,3.31,-49.77,-0.02,-35.91,115,39_0000900_0000924-reel_begin_end,48,-78.698379,167.720863
6,17238,296,18156,1071,16861,1395,16629,1098,1594,1252,9.08,2.43,22.72,-34.85,3.47,-50.44,0.02,-36.15,115,39_0000900_0000924-reel_begin_end,49,-78.716619,167.738968
10,29646,280,29896,821,29247,1391,28856,1089,1594,1252,11.72,3.2,15.44,-22.82,5.79,-50.25,-0.02,-35.72,115,39_0000900_0000924-reel_begin_end,50,-78.734625,167.763045
