A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,4263,431,4412,798,3168,1416,2744,1091,1591,2740,22.73,-4.17,24.95,-22.03,6.35,-52.11,0.01,-36.29,39_0001175_0001199-reel_begin_end.tiff
2,7297,395,7438,766,6010,1412,5774,1092,1591,2740,22.79,-2.42,24.89,-20.47,3.54,-51.92,0.01,-36.34,39_0001175_0001199-reel_begin_end.tiff
3,10307,400,10445,608,9012,1408,8784,1095,1591,2740,22.79,-2.66,24.85,-12.78,3.42,-51.72,0.01,-36.49,39_0001175_0001199-reel_begin_end.tiff
4,13323,431,13465,640,11996,1412,11808,1089,1591,2740,22.73,-4.17,24.85,-14.34,2.88,-51.92,0.07,-36.2,39_0001175_0001199-reel_begin_end.tiff
5,16360,434,16513,798,15070,1412,14841,1088,1591,2740,22.83,-4.31,25.12,-22.03,3.54,-51.92,0.11,-36.15,39_0001175_0001199-reel_begin_end.tiff
6,19370,442,19530,890,18254,1412,17848,1088,1591,2740,22.83,-4.7,25.22,-26.51,6.14,-51.92,0.07,-36.15,39_0001175_0001199-reel_begin_end.tiff
8,25410,418,25558,722,24282,1408,23898,1089,1591,2740,22.68,-3.54,24.89,-18.33,5.81,-51.72,0.07,-36.2,39_0001175_0001199-reel_begin_end.tiff
9,28433,420,28578,765,27258,1406,26918,1092,1591,2740,22.73,-3.63,24.89,-20.43,5.15,-51.63,0.07,-36.34,39_0001175_0001199-reel_begin_end.tiff
10,31440,443,31585,808,30324,1412,29918,1089,1591,2740,22.83,-4.75,25.0,-22.52,6.14,-51.92,0.07,-36.2,39_0001175_0001199-reel_begin_end.tiff
11,31437,442,31589,811,30302,1414,29914,1093,1591,2740,22.79,-4.7,25.06,-22.67,5.81,-52.02,0.01,-36.39,39_0001175_0001199-reel_begin_end.tiff
12,34467,399,34623,776,33368,1415,32948,1088,1591,2740,22.79,-2.61,25.12,-20.96,6.35,-52.06,0.07,-36.15,39_0001175_0001199-reel_begin_end.tiff
13,37491,440,37632,868,36371,1415,35968,1090,1591,2740,25.22,-4.61,27.33,-25.44,8.47,-52.06,2.45,-36.25,39_0001175_0001199-reel_begin_end.tiff
