A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2159,490,2613,759,1866,1360,1375,968,1517,1362,12.04,-10.09,18.68,-23.1,7.74,-52.14,0.55,-33.2,47_0004100_0004124-reel_begin_end.tiff
2,5179,428,5633,874,4889,1355,4392,966,1517,1362,12.04,-7.1,18.68,-28.65,7.79,-51.9,0.51,-33.1,47_0004100_0004124-reel_begin_end.tiff
3,8209,416,8638,777,7876,1353,7419,966,1517,1362,12.04,-6.52,18.32,-23.97,7.16,-51.8,0.47,-33.1,47_0004100_0004124-reel_begin_end.tiff
4,11155,425,11600,656,10850,1355,10359,964,1517,1362,12.12,-6.95,18.64,-18.12,7.66,-51.9,0.47,-33.0,47_0004100_0004124-reel_begin_end.tiff
5,14098,422,14540,798,13824,1357,13305,966,1517,1362,12.17,-6.81,18.64,-24.98,8.15,-52.0,0.55,-33.1,47_0004100_0004124-reel_begin_end.tiff
6,17116,420,17567,776,16798,1354,16326,969,1517,1362,11.99,-6.71,18.6,-23.92,7.33,-51.85,0.42,-33.24,47_0004100_0004124-reel_begin_end.tiff
7,20063,414,20508,689,19736,1355,19279,964,1517,1362,11.95,-6.42,18.46,-19.71,7.16,-51.9,0.47,-33.0,47_0004100_0004124-reel_begin_end.tiff
8,23000,461,23457,880,22679,1353,22225,968,1517,1362,11.9,-8.69,18.6,-28.94,7.2,-51.8,0.55,-33.2,47_0004100_0004124-reel_begin_end.tiff
9,26048,427,26493,941,25740,1355,25249,964,1517,1362,12.17,-7.05,18.68,-31.89,7.66,-51.9,0.47,-33.0,47_0004100_0004124-reel_begin_end.tiff
10,29056,389,29507,866,28744,1355,28272,965,1517,1362,11.99,-5.21,18.6,-28.27,7.42,-51.9,0.51,-33.05,47_0004100_0004124-reel_begin_end.tiff
11,32068,390,32532,959,31744,1352,31278,964,1517,1362,12.17,-5.26,18.96,-32.76,7.42,-51.76,0.6,-33.0,47_0004100_0004124-reel_begin_end.tiff
12,35013,469,35473,932,34673,1358,34235,964,1517,1362,11.95,-9.08,18.68,-31.46,6.97,-52.05,0.55,-33.0,47_0004100_0004124-reel_begin_end.tiff
