A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2071,458,,,1852,1354,1370,974,1521,1374,10.62,-8.32,,,7.4,-51.84,0.3,-33.38,47_0003950_0003974-reel_begin_end.tiff
2,5097,413,5440,1040,4825,1353,4387,967,1521,1374,10.86,-6.13,15.91,-36.58,6.85,-51.79,0.41,-33.04,47_0003950_0003974-reel_begin_end.tiff
3,8101,418,8456,1127,7863,1353,7415,976,1521,1374,10.77,-6.37,15.99,-40.81,7.27,-51.79,0.67,-33.48,47_0003950_0003974-reel_begin_end.tiff
4,11125,397,11446,957,10924,1345,10430,961,1521,1374,10.68,-5.35,15.41,-32.55,7.72,-51.4,0.45,-32.75,47_0003950_0003974-reel_begin_end.tiff
5,14146,412,14489,1158,13918,1352,13427,982,1521,1374,10.99,-6.08,16.04,-42.32,7.63,-51.74,0.41,-33.77,47_0003950_0003974-reel_begin_end.tiff
6,17151,377,17479,1159,16932,1352,16450,970,1521,1374,10.62,-4.38,15.45,-42.37,7.4,-51.74,0.3,-33.18,47_0003950_0003974-reel_begin_end.tiff
7,20190,419,20533,1089,19962,1354,19492,967,1521,1374,10.9,-6.42,15.95,-38.96,7.55,-51.84,0.63,-33.04,47_0003950_0003974-reel_begin_end.tiff
8,23217,388,23526,1075,23019,1353,22516,968,1521,1374,10.86,-4.92,15.41,-38.28,7.94,-51.79,0.54,-33.09,47_0003950_0003974-reel_begin_end.tiff
9,26223,474,26560,883,25988,1352,25510,965,1521,1374,10.95,-9.09,15.91,-28.96,7.49,-51.74,0.45,-32.94,47_0003950_0003974-reel_begin_end.tiff
10,29247,418,29584,903,29018,1351,28543,965,1521,1374,10.86,-6.37,15.82,-29.93,7.49,-51.69,0.49,-32.94,47_0003950_0003974-reel_begin_end.tiff
11,32261,355,32786,1181,32055,1351,31567,967,1521,1374,10.62,-3.31,18.35,-43.43,7.59,-51.69,0.41,-33.04,47_0003950_0003974-reel_begin_end.tiff
12,35265,388,,,35039,1345,34573,962,1521,1374,10.68,-4.92,,,7.35,-51.4,0.49,-32.8,47_0003950_0003974-reel_begin_end.tiff
