A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2780,387,3194,1011,2622,1378,2190,1028,1521,2159,9.6,-5.02,15.66,-35.33,7.28,-53.15,0.96,-36.15,47_0002325_0002349-reel_begin_end.tiff
2,5784,389,6442,898,5697,1382,5185,1018,1521,2159,9.51,-5.11,19.14,-29.84,8.23,-53.35,0.74,-35.67,47_0002325_0002349-reel_begin_end.tiff
3,8795,408,9446,1137,8643,1385,8214,1030,1521,2159,9.38,-6.04,18.91,-41.45,7.15,-53.49,0.87,-36.25,47_0002325_0002349-reel_begin_end.tiff
4,11822,427,12573,1264,11720,1383,11242,1028,1521,2159,9.19,-6.96,20.18,-47.62,7.69,-53.4,0.69,-36.15,47_0002325_0002349-reel_begin_end.tiff
5,14835,396,15381,962,14677,1381,14245,1017,1521,2159,9.38,-5.45,17.37,-32.95,7.06,-53.3,0.74,-35.62,47_0002325_0002349-reel_begin_end.tiff
6,17838,406,18629,1299,17665,1380,17249,1011,1521,2159,9.27,-5.94,20.86,-49.32,6.74,-53.25,0.65,-35.33,47_0002325_0002349-reel_begin_end.tiff
7,20863,439,21882,1205,20764,1381,20285,1021,1521,2159,9.05,-7.54,23.98,-44.75,7.6,-53.3,0.59,-35.81,47_0002325_0002349-reel_begin_end.tiff
8,23885,392,24688,1255,23706,1384,23308,1026,1521,2159,9.23,-5.26,20.99,-47.18,6.61,-53.44,0.78,-36.05,47_0002325_0002349-reel_begin_end.tiff
9,26879,419,27704,1231,26752,1382,26320,1030,1521,2159,9.14,-6.57,21.22,-46.01,7.28,-53.35,0.96,-36.25,47_0002325_0002349-reel_begin_end.tiff
10,29918,394,,,29832,1387,29335,1019,1521,2159,9.27,-5.36,,,8.01,-53.59,0.74,-35.71,47_0002325_0002349-reel_begin_end.tiff
11,32941,389,33670,1204,32772,1383,32361,1022,1521,2159,9.32,-5.11,19.99,-44.7,6.84,-53.4,0.82,-35.86,47_0002325_0002349-reel_begin_end.tiff
12,35930,354,36810,1233,35797,1377,35362,1019,1521,2159,9.01,-3.41,21.9,-46.11,7.06,-53.1,0.69,-35.71,47_0002325_0002349-reel_begin_end.tiff
