A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1231,389,1631.0,828.0,1131,1377,644.0,1010.0,1520,636,9.21,-5.01,15.13,-26.47,7.73,-53.31,0.53,-35.37,127,47_0002200_0002224-reel_begin_end,237,-78.812195,-176.171005
2,4275,401,4645.0,895.0,4142,1377,3671.0,1009.0,1520,636,9.42,-5.6,14.89,-29.75,7.45,-53.31,0.48,-35.32,127,47_0002200_0002224-reel_begin_end,238,-78.815201,-176.074799
3,7297,406,7697.0,944.0,7154,1372,6697.0,1009.0,1520,636,9.45,-5.84,15.36,-32.14,7.33,-53.06,0.57,-35.32,127,47_0002200_0002224-reel_begin_end,239,-78.816803,-175.978607
4,10302,436,10691.0,842.0,10191,1374,9699.0,1008.0,1520,636,9.37,-7.31,15.13,-27.15,7.73,-53.16,0.45,-35.27,127,47_0002200_0002224-reel_begin_end,240,-78.819794,-175.882401
5,13335,417,13713.0,874.0,13179,1373,12732.0,1013.0,1520,636,9.56,-6.38,15.16,-28.72,7.26,-53.11,0.65,-35.51,127,47_0002200_0002224-reel_begin_end,241,-78.821396,-175.787506
6,16376,407,16773.0,1038.0,16243,1371,15751.0,1007.0,1520,636,9.73,-5.89,15.6,-36.74,7.76,-53.01,0.48,-35.22,127,47_0002200_0002224-reel_begin_end,242,-78.822998,-175.691299
7,19386,449,19780.0,837.0,19216,1373,18772.0,1016.0,1520,636,9.73,-7.95,15.56,-26.91,7.21,-53.11,0.65,-35.66,127,47_0002200_0002224-reel_begin_end,243,-78.825897,-175.604706
8,22398,385,22810.0,1002.0,22303,1371,21784.0,1009.0,1520,636,9.61,-4.82,15.7,-34.98,8.2,-53.01,0.53,-35.32,127,47_0002200_0002224-reel_begin_end,244,-78.826202,-175.498795
9,25439,434,25804.0,1037.0,25275,1372,24809.0,1006.0,1520,636,9.92,-7.21,15.32,-36.69,7.49,-53.06,0.6,-35.17,127,47_0002200_0002224-reel_begin_end,245,-78.829102,-175.402603
10,28425,379,28829.0,572.0,28287,1369,27816.0,1007.0,1520,636,9.42,-4.52,15.39,-13.96,7.38,-52.91,0.41,-35.22,127,47_0002200_0002224-reel_begin_end,246,-78.8293,-175.302094
11,31445,418,31839.0,712.0,31215,1371,30826.0,1011.0,1520,636,9.56,-6.43,15.39,-20.8,6.16,-53.01,0.41,-35.42,127,47_0002200_0002224-reel_begin_end,247,-78.830902,-175.205902
12,34467,391,34846.0,774.0,34311,1371,33864.0,1006.0,1520,636,9.45,-5.11,15.05,-23.83,7.14,-53.01,0.53,-35.17,127,47_0002200_0002224-reel_begin_end,248,-78.8311,-175.115097
1,2751,453,3140.0,945.0,2640,1375,2158.0,1009.0,1514,2152,9.43,-9.07,15.19,-32.39,7.79,-52.76,0.66,-35.42,127,47_0002225_0002249-reel_begin_end,221,-78.777206,-177.690704
2,5784,396,6139.0,898.0,5630,1378,5194.0,1017.0,1514,2152,9.48,-6.37,14.73,-30.16,7.2,-52.9,0.75,-35.8,127,47_0002225_0002249-reel_begin_end,222,-78.780106,-177.595993
3,8803,423,9195.0,1022.0,8605,1375,8194.0,1010.0,1514,2152,9.76,-7.65,15.56,-36.03,6.83,-52.76,0.75,-35.47,127,47_0002225_0002249-reel_begin_end,223,-78.781693,-177.499802
4,11813,390,12206.0,616.0,11634,1375,,,1514,2152,9.61,-6.09,15.43,-16.8,6.96,-52.76,,,127,47_0002225_0002249-reel_begin_end,224,-78.786102,-177.404999
5,14847,439,15675.0,1109.0,14653,1376,14242.0,1008.0,1514,2152,9.52,-8.41,21.77,-40.16,6.65,-52.81,0.57,-35.37,127,47_0002225_0002249-reel_begin_end,225,-78.786301,-177.310196
6,17856,436,18752.0,1186.0,17708,1375,17254.0,1009.0,1514,2152,9.66,-8.27,22.91,-43.81,7.47,-52.76,0.75,-35.42,127,47_0002225_0002249-reel_begin_end,226,-78.786499,-177.205704
7,20858,370,21442.0,1262.0,20722,1378,20274.0,1017.0,1514,2152,9.39,-5.14,18.03,-47.41,7.38,-52.9,0.75,-35.8,127,47_0002225_0002249-reel_begin_end,227,-78.790802,-177.110992
8,23898,413,24201.0,1014.0,23740,1375,23311.0,1016.0,1514,2152,9.39,-7.18,13.87,-35.66,7.05,-52.76,0.71,-35.75,127,47_0002225_0002249-reel_begin_end,228,-78.791107,-177.018906
9,26920,393,27226.0,1016.0,26720,1378,26330.0,1022.0,1514,2152,9.57,-6.23,14.09,-35.75,6.61,-52.9,0.84,-36.03,127,47_0002225_0002249-reel_begin_end,229,-78.795395,-176.928207
10,29892,397,30244.0,877.0,29750,1379,29312.0,1024.0,1514,2152,9.15,-6.42,14.36,-29.16,7.05,-52.95,0.57,-36.13,127,47_0002225_0002249-reel_begin_end,230,-78.798401,-176.832108
11,32929,386,33282.0,859.0,32741,1378,32337.0,1022.0,1514,2152,9.7,-5.9,14.92,-28.31,6.92,-52.9,0.94,-36.03,127,47_0002225_0002249-reel_begin_end,231,-78.799896,-176.737198
12,35940,427,36351.0,791.0,35758,1375,35360.0,1022.0,1514,2152,9.57,-7.84,15.65,-25.09,6.88,-52.76,0.99,-36.03,127,47_0002225_0002249-reel_begin_end,232,-78.801498,-176.641006
1,1261,462,,,1095,1379,665.0,1025.0,1517,653,9.74,-8.65,,,7.32,-53.64,1.05,-36.27,127,47_0002250_0002274-reel_begin_end,206,-78.740997,-179.110703
2,4284,386,,,4154,1375,3682.0,1009.0,1517,653,9.93,-4.92,,,8.03,-53.44,1.15,-35.48,127,47_0002250_0002274-reel_begin_end,207,-78.742493,-179.0159
3,7291,503,,,7146,1377,6711.0,1025.0,1517,653,9.74,-10.66,,,7.62,-53.54,1.29,-36.27,127,47_0002250_0002274-reel_begin_end,208,-78.745499,-178.911499
4,10289,404,11021.0,1211.0,10169,1377,9712.0,1021.0,1517,653,9.56,-5.8,20.23,-45.39,7.81,-53.54,1.15,-36.07,127,47_0002250_0002274-reel_begin_end,209,-78.748505,-178.816803
5,13310,394,13980.0,1168.0,13155,1377,12742.0,1021.0,1517,653,9.43,-5.31,19.19,-43.29,7.17,-53.54,1.15,-36.07,127,47_0002250_0002274-reel_begin_end,210,-78.751404,-178.726196
6,16327,441,17015.0,1249.0,16160,1375,15765.0,1023.0,1517,653,9.39,-7.62,19.41,-47.26,6.95,-53.44,1.2,-36.17,127,47_0002250_0002274-reel_begin_end,211,-78.754395,-178.636993
7,19342,444,19969.0,1242.0,19197,1377,18749.0,1007.0,1517,653,9.61,-7.76,18.74,-46.92,7.49,-53.54,0.96,-35.39,127,47_0002250_0002274-reel_begin_end,212,-78.758698,-178.540894
8,22363,416,23039.0,1288.0,22212,1379,21785.0,1015.0,1517,653,9.47,-6.39,19.33,-49.17,7.27,-53.64,1.05,-35.78,127,47_0002250_0002274-reel_begin_end,213,-78.758896,-178.446106
9,25380,442,26019.0,1290.0,25213,1372,24812.0,1016.0,1517,653,9.43,-7.66,18.74,-49.27,7.0,-53.29,1.15,-35.83,127,47_0002250_0002274-reel_begin_end,214,-78.761902,-178.351395
10,28384,437,29041.0,1309.0,28229,1377,27828.0,1025.0,1517,653,9.34,-7.42,18.92,-50.2,7.09,-53.54,1.24,-36.27,127,47_0002250_0002274-reel_begin_end,215,-78.763504,-178.256607
11,31420,420,31818.0,980.0,31296,1374,30855.0,1024.0,1517,653,9.43,-6.59,15.23,-34.06,7.62,-53.39,1.2,-36.22,127,47_0002250_0002274-reel_begin_end,216,-78.767899,-178.166
12,34446,421,35070.0,1163.0,34307,1376,33859.0,1007.0,1517,653,9.52,-6.63,18.61,-43.04,7.49,-53.49,0.96,-35.39,127,47_0002250_0002274-reel_begin_end,217,-78.769394,-178.0616
1,2755,438,3323.0,1146.0,2613,1383,2184.0,1028.0,1521,2147,9.27,-7.88,17.63,-42.1,7.18,-53.55,0.86,-36.4,127,47_0002275_0002299-reel_begin_end,190,-78.689407,179.386597
2,5783,300,6410.0,1065.0,5591,1379,5199.0,1024.0,1521,2147,9.09,-1.21,18.32,-38.18,6.26,-53.36,0.49,-36.2,127,47_0002275_0002299-reel_begin_end,191,-78.692398,179.479904
3,8798,317,9515.0,1117.0,8647,1383,8218.0,1024.0,1521,2147,9.31,-2.03,19.86,-40.7,7.09,-53.55,0.77,-36.2,127,47_0002275_0002299-reel_begin_end,192,-78.694,179.570404
