A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3687,610,4388,1154,3539,1352,2886,1022,1520,2870,12.34,-15.88,22.53,-41.91,10.18,-51.39,0.69,-35.6,47_0003725_0003749-reel_begin_end.tiff
2,6712,636,7151,1019,6347,1347,5905,1014,1520,2870,12.26,-17.13,18.64,-35.45,6.96,-51.15,0.53,-35.21,47_0003725_0003749-reel_begin_end.tiff
3,9716,625,10441,1206,9452,1355,8930,1016,1520,2870,12.03,-16.6,22.57,-44.4,8.19,-51.53,0.6,-35.31,47_0003725_0003749-reel_begin_end.tiff
4,12726,608,13102,857,12435,1352,11940,1016,1520,2870,12.03,-15.79,17.5,-27.7,7.8,-51.39,0.6,-35.31,47_0003725_0003749-reel_begin_end.tiff
5,15746,635,16116,1061,15455,1351,14968,1016,1520,2870,11.88,-17.08,17.26,-37.46,7.65,-51.34,0.57,-35.31,47_0003725_0003749-reel_begin_end.tiff
6,18776,659,19149,899,18451,1350,17980,1014,1520,2870,12.03,-18.23,17.45,-29.71,7.3,-51.29,0.46,-35.21,47_0003725_0003749-reel_begin_end.tiff
7,21781,638,22300,989,21453,1350,20988,1014,1520,2870,12.1,-17.22,19.65,-34.02,7.33,-51.29,0.57,-35.21,47_0003725_0003749-reel_begin_end.tiff
8,24811,641,25216,966,24531,1354,24023,1017,1520,2870,12.1,-17.37,17.99,-32.92,8.03,-51.48,0.65,-35.36,47_0003725_0003749-reel_begin_end.tiff
9,27826,639,28228,872,27508,1352,,,1520,2870,11.88,-17.27,17.73,-28.42,7.26,-51.39,,,47_0003725_0003749-reel_begin_end.tiff
10,30833,700,31582,1208,30534,1350,30047,1016,1520,2870,11.84,-20.19,22.73,-44.5,7.49,-51.29,0.41,-35.31,47_0003725_0003749-reel_begin_end.tiff
11,33861,660,34390,1079,33543,1352,33070,1013,1520,2870,11.96,-18.27,19.65,-38.32,7.33,-51.39,0.46,-35.16,47_0003725_0003749-reel_begin_end.tiff
