A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3581,456,4155,682,3256,1354,2808,965,1521,2796,12.05,-9.14,20.67,-19.9,7.16,-51.9,0.43,-33.37,47_0004175_0004199-reel_begin_end.tiff
2,6604,440,7142,757,6308,1354,5845,969,1521,2796,11.94,-8.37,20.02,-23.47,7.49,-51.9,0.54,-33.56,47_0004175_0004199-reel_begin_end.tiff
3,9535,417,10057,713,9270,1354,8778,968,1521,2796,11.81,-7.28,19.65,-21.37,7.82,-51.9,0.43,-33.52,47_0004175_0004199-reel_begin_end.tiff
4,12486,457,13011,740,12214,1358,11723,968,1521,2796,11.67,-9.18,19.56,-22.66,7.58,-52.09,0.21,-33.52,47_0004175_0004199-reel_begin_end.tiff
5,15524,423,16049,730,15185,1353,14749,972,1521,2796,11.94,-7.56,19.83,-22.18,6.85,-51.85,0.3,-33.71,47_0004175_0004199-reel_begin_end.tiff
6,18486,479,19036,704,18131,1354,17695,968,1521,2796,12.27,-10.23,20.53,-20.95,6.94,-51.9,0.39,-33.52,47_0004175_0004199-reel_begin_end.tiff
7,21493,439,22043,707,21175,1356,20702,972,1521,2796,12.23,-8.33,20.49,-21.09,7.45,-51.99,0.34,-33.71,47_0004175_0004199-reel_begin_end.tiff
8,24526,409,25036,723,24174,1354,23732,972,1521,2796,12.27,-6.9,19.93,-21.85,6.98,-51.9,0.34,-33.71,47_0004175_0004199-reel_begin_end.tiff
9,27540,488,28056,816,27209,1358,26765,968,1521,2796,12.18,-10.66,19.93,-26.28,7.21,-52.09,0.54,-33.52,47_0004175_0004199-reel_begin_end.tiff
10,30549,427,31056,909,30271,1352,29758,965,1521,2796,12.32,-7.75,19.93,-30.71,8.14,-51.8,0.43,-33.37,47_0004175_0004199-reel_begin_end.tiff
11,33580,432,34102,847,33283,1354,32795,968,1521,2796,12.18,-7.99,20.02,-27.76,7.72,-51.9,0.39,-33.52,47_0004175_0004199-reel_begin_end.tiff
