A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2260,547,2789,893,1989,1529,1789,1110,1503,1782,7.67,-11.94,15.38,-29.34,3.73,-61.33,0.81,-40.26,40_0009000_0009024-reel_begin_end.tiff
2,5259,599,6002,1276,5013,1526,4799,1106,1503,1782,7.51,-14.56,18.34,-48.61,3.93,-61.18,0.81,-40.06,40_0009000_0009024-reel_begin_end.tiff
3,8210,511,8735,998,7985,1530,7732,1078,1503,1782,7.67,-10.13,15.32,-34.63,4.4,-61.38,0.71,-38.65,40_0009000_0009024-reel_begin_end.tiff
4,11226,856,12051,1167,10997,1534,10762,1079,1503,1782,7.47,-27.48,19.49,-43.13,4.13,-61.59,0.71,-38.7,40_0009000_0009024-reel_begin_end.tiff
5,14253,570,14774,864,14014,1530,13789,1124,1503,1782,7.57,-13.1,15.16,-27.89,4.09,-61.38,0.81,-40.96,40_0009000_0009024-reel_begin_end.tiff
6,17253,524,17767,834,17017,1529,16782,1077,1503,1782,7.57,-10.78,15.06,-26.38,4.13,-61.33,0.71,-38.6,40_0009000_0009024-reel_begin_end.tiff
7,20283,616,20794,926,20019,1529,19808,1075,1503,1782,7.57,-15.41,15.02,-31.0,3.73,-61.33,0.65,-38.5,40_0009000_0009024-reel_begin_end.tiff
8,23304,567,,,23061,1529,22818,1084,1503,1782,7.73,-12.95,,,4.19,-61.33,0.65,-38.95,40_0009000_0009024-reel_begin_end.tiff
9,26321,604,27364,1224,26053,1528,25835,1079,1503,1782,7.83,-14.81,23.03,-45.99,3.93,-61.28,0.75,-38.7,40_0009000_0009024-reel_begin_end.tiff
10,29340,581,,,29072,1524,28858,1075,1503,1782,7.67,-13.65,,,3.77,-61.08,0.65,-38.5,40_0009000_0009024-reel_begin_end.tiff
11,32368,564,33436,1115,32089,1527,31875,1074,1503,1782,7.94,-12.8,23.49,-40.51,3.87,-61.23,0.75,-38.45,40_0009000_0009024-reel_begin_end.tiff
12,35371,551,36447,1101,35093,1527,34875,1072,1503,1782,7.98,-12.14,23.65,-39.81,3.93,-61.23,0.75,-38.35,40_0009000_0009024-reel_begin_end.tiff
