A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2600,597,,,2071,1501,1870,1015,1510,1849,12.75,-16.06,,,5.02,-59.28,2.09,-36.05,40_0008150_0008174-reel_begin_end.tiff
2,5613,656,,,5089,1498,4872,996,1510,1849,12.79,-18.88,,,5.14,-59.14,1.97,-35.14,40_0008150_0008174-reel_begin_end.tiff
3,8622,594,,,8112,1496,7885,996,1510,1849,12.63,-15.92,,,5.18,-59.04,1.87,-35.14,40_0008150_0008174-reel_begin_end.tiff
4,11639,603,,,11147,1502,10912,1002,1510,1849,12.59,-16.35,,,5.4,-59.33,1.97,-35.42,40_0008150_0008174-reel_begin_end.tiff
5,14677,609,,,14178,1499,13932,994,1510,1849,12.85,-16.63,,,5.56,-59.19,1.97,-35.04,40_0008150_0008174-reel_begin_end.tiff
6,17605,615,,,17080,1497,16882,1005,1510,1849,12.53,-16.92,,,4.86,-59.09,1.97,-35.57,40_0008150_0008174-reel_begin_end.tiff
7,20622,613,,,20090,1499,19918,1052,1510,1849,12.63,-16.82,,,4.86,-59.19,2.35,-37.81,40_0008150_0008174-reel_begin_end.tiff
8,23651,612,,,23141,1496,22924,1002,1510,1849,12.91,-16.78,,,5.46,-59.04,2.29,-35.42,40_0008150_0008174-reel_begin_end.tiff
9,26667,589,,,26150,1498,25926,997,1510,1849,12.85,-15.68,,,5.3,-59.14,2.03,-35.18,40_0008150_0008174-reel_begin_end.tiff
10,29683,601,30337,1310,29151,1496,28928,1002,1510,1849,12.79,-16.25,22.34,-50.15,5.02,-59.04,1.77,-35.42,40_0008150_0008174-reel_begin_end.tiff
11,32710,609,,,32196,1497,31965,995,1510,1849,12.75,-16.63,,,5.24,-59.09,1.87,-35.09,40_0008150_0008174-reel_begin_end.tiff
12,35715,598,,,35220,1501,34989,1002,1510,1849,12.53,-16.11,,,5.3,-59.28,1.93,-35.42,40_0008150_0008174-reel_begin_end.tiff
