A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,3002,715,3159,1157,2659,1361,1984,984,1506,1980,16.24,-22.83,18.56,-44.05,11.15,-53.84,1.14,-35.74,40_0006825_0006849-reel_begin_end.tiff
2,6019,716,6172,1020,5644,1360,4990,989,1506,1980,16.34,-22.88,18.61,-37.47,10.78,-53.79,1.09,-35.98,40_0006825_0006849-reel_begin_end.tiff
3,9040,673,9201,967,8615,1360,8019,986,1506,1980,16.18,-20.81,18.56,-34.93,9.88,-53.79,1.04,-35.84,40_0006825_0006849-reel_begin_end.tiff
4,12051,724,12211,838,11633,1363,11026,985,1506,1980,16.34,-23.26,18.71,-28.73,10.14,-53.93,1.14,-35.79,40_0006825_0006849-reel_begin_end.tiff
5,15057,689,15243,1219,14661,1363,14039,985,1506,1980,16.28,-21.58,19.04,-47.02,10.41,-53.93,1.19,-35.79,40_0006825_0006849-reel_begin_end.tiff
6,18094,714,18259,887,17730,1364,17069,983,1506,1980,16.38,-22.78,18.83,-31.09,10.99,-53.98,1.19,-35.69,40_0006825_0006849-reel_begin_end.tiff
7,21096,712,21286,1209,20689,1362,20082,983,1506,1980,16.12,-22.69,18.93,-46.54,10.08,-53.89,1.09,-35.69,40_0006825_0006849-reel_begin_end.tiff
8,24104,715,,,23846,1362,23086,984,1506,1980,16.24,-22.83,,,12.41,-53.89,1.14,-35.74,40_0006825_0006849-reel_begin_end.tiff
9,27134,698,,,26719,1361,26112,986,1506,1980,16.24,-22.01,,,10.08,-53.84,1.09,-35.84,40_0006825_0006849-reel_begin_end.tiff
10,30154,723,,,29743,1363,29129,983,1506,1980,16.38,-23.21,,,10.29,-53.93,1.19,-35.69,40_0006825_0006849-reel_begin_end.tiff
11,33164,730,,,32796,1363,32136,984,1506,1980,16.38,-23.55,,,10.93,-53.93,1.14,-35.74,40_0006825_0006849-reel_begin_end.tiff
12,36187,712,,,35769,1364,35162,988,1506,1980,16.28,-22.69,,,10.08,-53.98,1.09,-35.93,40_0006825_0006849-reel_begin_end.tiff
