A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2288,533,2746,1185,1953,1516,1771,1055,1513,1763,8.24,-11.66,14.91,-43.87,3.36,-60.23,0.71,-37.45,40_0008900_0008924-reel_begin_end.tiff
2,5238,546,5716,1044,4923,1521,4723,1046,1513,1763,8.1,-12.3,15.06,-36.9,3.51,-60.47,0.59,-37.0,40_0008900_0008924-reel_begin_end.tiff
3,8252,533,8734,1022,7902,1516,7734,1071,1513,1763,8.3,-11.66,15.32,-35.82,3.2,-60.23,0.75,-38.24,40_0008900_0008924-reel_begin_end.tiff
4,11250,537,11718,1171,10926,1512,10747,1063,1513,1763,7.98,-11.85,14.8,-43.18,3.26,-60.03,0.65,-37.84,40_0008900_0008924-reel_begin_end.tiff
5,14278,566,14738,1071,13946,1512,13767,1043,1513,1763,8.1,-13.29,14.8,-38.24,3.26,-60.03,0.65,-36.86,40_0008900_0008924-reel_begin_end.tiff
6,17298,568,17766,880,16969,1516,16787,1072,1513,1763,8.1,-13.38,14.91,-28.8,3.3,-60.23,0.65,-38.29,40_0008900_0008924-reel_begin_end.tiff
7,20234,561,20731,807,19895,1511,19723,1052,1513,1763,8.04,-13.04,15.28,-25.19,3.1,-59.98,0.59,-37.3,40_0008900_0008924-reel_begin_end.tiff
8,23197,545,23697,923,22872,1512,22683,1046,1513,1763,8.14,-12.25,15.42,-30.93,3.41,-60.03,0.65,-37.0,40_0008900_0008924-reel_begin_end.tiff
9,26130,530,26623,1004,25812,1510,25612,1055,1513,1763,8.04,-11.51,15.22,-34.93,3.41,-59.93,0.49,-37.45,40_0008900_0008924-reel_begin_end.tiff
10,29070,560,29570,1029,28767,1509,28563,1044,1513,1763,8.04,-12.99,15.32,-36.16,3.62,-59.88,0.65,-36.9,40_0008900_0008924-reel_begin_end.tiff
11,32037,552,32466,1241,31705,1512,31516,1043,1513,1763,8.14,-12.59,14.39,-46.64,3.3,-60.03,0.55,-36.86,40_0008900_0008924-reel_begin_end.tiff
12,34976,521,,,34655,1509,34469,1043,1513,1763,7.98,-11.06,,,3.3,-59.88,0.59,-36.86,40_0008900_0008924-reel_begin_end.tiff
