A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,565,654,,,1383,1366,490,1003,1485,476,2.43,-20.57,,,14.21,-53.61,1.35,-36.76,125,40_0006700_0006724-reel_begin_end,1325,-80.208298,-161.3573
2,3585,733,,,4106,1367,3499,996,1485,476,2.43,-24.23,,,9.93,-53.66,1.19,-36.44,125,40_0006700_0006724-reel_begin_end,1326,-80.219299,-161.412598
3,6589,674,,,7099,1368,6499,1005,1485,476,2.49,-21.5,,,9.83,-53.7,1.19,-36.86,125,40_0006700_0006724-reel_begin_end,1327,-80.227402,-161.487106
4,9615,747,,,10115,1368,9536,999,1485,476,2.43,-24.88,,,9.63,-53.7,1.29,-36.58,125,40_0006700_0006724-reel_begin_end,1328,-80.234299,-161.557404
5,12639,664,,,13256,1365,12564,1007,1485,476,2.49,-21.03,,,11.37,-53.56,1.41,-36.95,125,40_0006700_0006724-reel_begin_end,1329,-80.243896,-161.629196
6,15649,699,,,16295,1386,15566,1006,1485,476,2.49,-22.66,,,11.79,-54.54,1.29,-36.9,125,40_0006700_0006724-reel_begin_end,1330,-80.249298,-161.706406
7,18671,737,,,19257,1372,18593,1007,1485,476,2.37,-24.42,,,10.81,-53.89,1.25,-36.95,125,40_0006700_0006724-reel_begin_end,1331,-80.242401,-161.768204
8,21695,669,,,22581,1369,21616,1005,1485,476,2.43,-21.26,,,15.19,-53.75,1.29,-36.86,125,40_0006700_0006724-reel_begin_end,1332,-80.228699,-161.764008
9,24702,770,,,25188,1368,24609,1000,1485,476,2.53,-25.95,,,9.53,-53.7,1.19,-36.63,125,40_0006700_0006724-reel_begin_end,1333,-80.217697,-161.731094
10,27725,708,,,28225,1372,27636,999,1485,476,2.43,-23.07,,,9.63,-53.89,1.15,-36.58,125,40_0006700_0006724-reel_begin_end,1334,-80.209503,-161.687195
11,30752,688,,,31263,1370,30674,1006,1485,476,2.53,-22.15,,,9.89,-53.8,1.41,-36.9,125,40_0006700_0006724-reel_begin_end,1335,-80.202698,-161.647507
12,33762,728,,,34287,1370,33669,1002,1485,476,2.53,-24.0,,,10.09,-53.8,1.19,-36.72,125,40_0006700_0006724-reel_begin_end,1336,-80.197205,-161.6091
1,2258,498,2440.0,808.0,2997,1366,1994,996,1488,1990,5.04,-12.05,7.65,-26.76,15.62,-53.24,1.26,-35.68,125,40_0006725_0006749-reel_begin_end,1313,-80.214706,-162.312103
2,5247,502,5422.0,836.0,5879,1371,5004,1006,1488,1990,4.88,-12.24,7.39,-28.09,13.93,-53.48,1.4,-36.16,125,40_0006725_0006749-reel_begin_end,1314,-80.210602,-162.224304
3,8235,518,8417.0,772.0,8706,1368,8021,1001,1488,1990,4.42,-13.0,7.03,-25.05,11.17,-53.34,1.36,-35.92,125,40_0006725_0006749-reel_begin_end,1315,-80.207901,-162.133804
4,11240,510,11426.0,707.0,11876,1370,11051,1006,1488,1990,4.07,-12.62,6.73,-21.97,13.17,-53.43,1.36,-36.16,125,40_0006725_0006749-reel_begin_end,1316,-80.2052,-162.047501
5,14229,471,14408.0,835.0,14904,1370,14047,1001,1488,1990,3.91,-10.77,6.47,-28.04,13.57,-53.43,1.3,-35.92,125,40_0006725_0006749-reel_begin_end,1317,-80.202499,-161.959702
6,17221,450,17403.0,874.0,17714,1367,17067,998,1488,1990,3.51,-9.77,6.11,-29.89,10.57,-53.29,1.3,-35.78,125,40_0006725_0006749-reel_begin_end,1318,-80.198395,-161.878906
7,20226,421,20415.0,854.0,20736,1366,20097,1003,1488,1990,3.15,-8.39,5.86,-28.94,10.45,-53.24,1.3,-36.01,125,40_0006725_0006749-reel_begin_end,1319,-80.197098,-161.796707
8,23148,403,23330.0,799.0,23848,1368,23034,1000,1488,1990,2.89,-7.54,5.5,-26.33,12.91,-53.34,1.26,-35.87,125,40_0006725_0006749-reel_begin_end,1320,-80.192993,-161.706207
9,26139,604,26329.0,731.0,26804,1368,26057,1011,1488,1990,2.99,-17.08,5.63,-23.11,12.25,-53.34,1.85,-36.39,125,40_0006725_0006749-reel_begin_end,1321,-80.191696,-161.618393
10,29156,665,,,29891,1369,29074,998,1488,1990,2.95,-19.97,,,13.18,-53.38,1.8,-35.78,125,40_0006725_0006749-reel_begin_end,1322,-80.191696,-161.539001
11,32163,692,,,32670,1371,32084,999,1488,1990,3.04,-21.25,,,10.1,-53.48,1.94,-35.82,125,40_0006725_0006749-reel_begin_end,1323,-80.188995,-161.453995
12,35177,683,,,35737,1369,35094,997,1488,1990,3.1,-20.83,,,10.9,-53.38,1.94,-35.73,125,40_0006725_0006749-reel_begin_end,1324,-80.194504,-161.373306
