A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,774,564,1206,936,470,1522,256,1038,1513,256,8.24,-13.36,14.64,-31.74,3.73,-60.7,0.56,-36.78,40_0008825_0008849-reel_begin_end.tiff
2,3783,576,4229,869,3479,1513,3290,1083,1513,256,8.08,-13.96,14.69,-28.43,3.57,-60.26,0.77,-39.01,40_0008825_0008849-reel_begin_end.tiff
3,6749,556,7167,872,6410,1508,6253,1079,1513,256,8.02,-12.97,14.21,-28.58,2.99,-60.01,0.66,-38.81,40_0008825_0008849-reel_begin_end.tiff
4,9689,566,10125,1156,9368,1511,9214,1068,1513,256,8.02,-13.46,14.48,-42.62,3.26,-60.16,0.98,-38.27,40_0008825_0008849-reel_begin_end.tiff
5,12633,440,13033,984,12297,1511,12137,1000,1513,256,8.08,-7.24,14.01,-34.12,3.1,-60.16,0.72,-34.91,40_0008825_0008849-reel_begin_end.tiff
6,15660,641,16064,1220,15346,1510,15157,1067,1513,256,8.18,-17.17,14.17,-45.78,3.53,-60.11,0.72,-38.22,40_0008825_0008849-reel_begin_end.tiff
7,18603,564,18999,1167,18303,1514,18117,1066,1513,256,8.08,-13.36,13.95,-43.16,3.63,-60.3,0.87,-38.17,40_0008825_0008849-reel_begin_end.tiff
8,21554,553,21954,1096,21214,1508,21054,1067,1513,256,8.24,-12.82,14.17,-39.65,3.2,-60.01,0.83,-38.22,40_0008825_0008849-reel_begin_end.tiff
9,24514,604,24907,1026,24174,1510,24017,1062,1513,256,8.24,-15.34,14.06,-36.19,3.2,-60.11,0.87,-37.97,40_0008825_0008849-reel_begin_end.tiff
10,27460,568,27860,1027,27110,1507,26957,1073,1513,256,8.18,-13.56,14.11,-36.24,2.99,-59.96,0.72,-38.51,40_0008825_0008849-reel_begin_end.tiff
11,30394,604,30869,990,30069,1509,29884,1061,1513,256,8.39,-15.34,15.43,-34.41,3.57,-60.06,0.83,-37.92,40_0008825_0008849-reel_begin_end.tiff
12,33357,601,34036,1096,33018,1511,32864,1061,1513,256,8.28,-15.19,18.35,-39.65,3.26,-60.16,0.98,-37.92,40_0008825_0008849-reel_begin_end.tiff
