A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1504,697,,,1300,1364,490,991,1524,475,15.9,-21.62,,,12.96,-53.64,1.3,-35.73,40_0006800_0006824-reel_begin_end.tiff
2,4510,700,,,4160,1362,3496,993,1524,475,15.84,-21.77,,,10.8,-53.54,1.24,-35.83,40_0006800_0006824-reel_begin_end.tiff
3,7537,706,,,7162,1365,6523,995,1524,475,15.8,-22.05,,,10.4,-53.69,1.2,-35.93,40_0006800_0006824-reel_begin_end.tiff
4,10560,699,10724,1203,10224,1361,9535,985,1524,475,15.7,-21.72,18.06,-45.91,10.86,-53.49,0.94,-35.45,40_0006800_0006824-reel_begin_end.tiff
5,13560,698,13724,1163,13170,1360,12553,994,1524,475,15.7,-21.67,18.06,-43.99,10.08,-53.45,1.2,-35.88,40_0006800_0006824-reel_begin_end.tiff
6,16565,711,16733,1138,16190,1361,15569,988,1524,475,15.48,-22.29,17.9,-42.79,10.08,-53.49,1.14,-35.59,40_0006800_0006824-reel_begin_end.tiff
7,19571,701,19732,1104,19178,1361,18593,986,1524,475,15.28,-21.81,17.6,-41.16,9.62,-53.49,1.2,-35.49,40_0006800_0006824-reel_begin_end.tiff
8,22550,705,22728,1137,22125,1375,21600,988,1524,475,14.98,-22.01,17.54,-42.74,8.86,-54.17,1.3,-35.59,40_0006800_0006824-reel_begin_end.tiff
9,25548,740,25723,1240,25173,1361,24609,984,1524,475,14.66,-23.69,17.18,-47.69,9.26,-53.49,1.14,-35.4,40_0006800_0006824-reel_begin_end.tiff
10,28557,710,28725,1150,28207,1364,27635,986,1524,475,14.36,-22.25,16.78,-43.37,9.32,-53.64,1.08,-35.49,40_0006800_0006824-reel_begin_end.tiff
11,31538,678,31720,1075,31292,1367,30645,989,1524,475,13.94,-20.71,16.56,-39.77,10.4,-53.78,1.08,-35.64,40_0006800_0006824-reel_begin_end.tiff
12,34530,649,34702,1057,34334,1364,33659,985,1524,475,13.68,-19.32,16.16,-38.9,10.86,-53.64,1.14,-35.45,40_0006800_0006824-reel_begin_end.tiff
