A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,780,608,1762,1364,484,1532,269,1082,1520,266,8.07,-15.54,22.45,-52.89,3.73,-61.19,0.58,-38.96,40_0009025_0009049-reel_begin_end.tiff
2,3786,578,4279,1018,3529,1533,3287,1085,1520,266,8.01,-14.06,15.23,-35.8,4.24,-61.24,0.7,-39.11,40_0009025_0009049-reel_begin_end.tiff
3,6723,589,7687,1233,6434,1526,6216,1085,1520,266,7.96,-14.6,22.09,-46.42,3.73,-60.9,0.54,-39.11,40_0009025_0009049-reel_begin_end.tiff
4,9735,594,10657,1257,9489,1531,9253,1085,1520,266,7.7,-14.85,21.21,-47.61,4.1,-61.14,0.64,-39.11,40_0009025_0009049-reel_begin_end.tiff
5,12689,588,13689,1330,12417,1528,12192,1085,1520,266,7.76,-14.55,22.41,-51.21,3.77,-61.0,0.48,-39.11,40_0009025_0009049-reel_begin_end.tiff
6,15696,572,,,15442,1532,15203,1080,1520,266,7.86,-13.76,,,4.14,-61.19,0.64,-38.86,40_0009025_0009049-reel_begin_end.tiff
7,18706,550,19502,1296,18420,1528,18227,1081,1520,266,7.86,-12.67,19.52,-49.53,3.67,-61.0,0.84,-38.91,40_0009025_0009049-reel_begin_end.tiff
8,21728,571,22628,1311,21478,1530,21253,1083,1520,266,7.6,-13.71,20.78,-50.27,3.94,-61.1,0.64,-39.01,40_0009025_0009049-reel_begin_end.tiff
9,24731,560,25289,1138,24485,1533,24249,1081,1520,266,7.64,-13.17,15.82,-41.73,4.04,-61.24,0.58,-38.91,40_0009025_0009049-reel_begin_end.tiff
10,27744,570,28273,1028,27473,1528,27269,1079,1520,266,7.54,-13.66,15.29,-36.29,3.57,-61.0,0.58,-38.81,40_0009025_0009049-reel_begin_end.tiff
11,30701,600,31690,1301,30429,1527,30233,1081,1520,266,7.5,-15.14,21.99,-49.78,3.51,-60.95,0.64,-38.91,40_0009025_0009049-reel_begin_end.tiff
12,33648,538,,,33380,1528,33162,1080,1520,266,7.6,-12.08,,,3.67,-61.0,0.48,-38.86,40_0009025_0009049-reel_begin_end.tiff
