A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,2617,571,,,2028,1497,1824,998,1510,1817,12.94,-13.53,,,4.31,-59.29,1.32,-34.63,40_0008550_0008574-reel_begin_end.tiff
2,5644,540,6273,1031,5090,1500,4841,1004,1510,1817,13.04,-12.0,22.25,-36.26,4.92,-59.44,1.27,-34.93,40_0008550_0008574-reel_begin_end.tiff
3,8651,592,9255,1124,8123,1505,7862,1023,1510,1817,13.14,-14.57,21.99,-40.86,5.4,-59.68,1.58,-35.87,40_0008550_0008574-reel_begin_end.tiff
4,11703,554,12314,1066,11132,1504,10868,1017,1510,1817,13.61,-12.69,22.56,-37.99,5.24,-59.63,1.38,-35.57,40_0008550_0008574-reel_begin_end.tiff
5,14734,589,15356,1093,14152,1500,13923,1006,1510,1817,13.77,-14.42,22.88,-39.33,5.24,-59.44,1.89,-35.03,40_0008550_0008574-reel_begin_end.tiff
6,17740,539,,,17183,1502,16933,1003,1510,1817,13.57,-11.95,,,5.4,-59.54,1.74,-34.88,40_0008550_0008574-reel_begin_end.tiff
7,20754,594,,,20176,1496,19944,1009,1510,1817,13.61,-14.67,,,5.14,-59.24,1.74,-35.18,40_0008550_0008574-reel_begin_end.tiff
8,23710,555,24310,901,23121,1502,22907,1006,1510,1817,13.4,-12.74,22.2,-29.84,4.77,-59.54,1.64,-35.03,40_0008550_0008574-reel_begin_end.tiff
9,26717,553,27317,996,26146,1502,25917,1006,1510,1817,13.51,-12.64,22.3,-34.53,5.14,-59.54,1.79,-35.03,40_0008550_0008574-reel_begin_end.tiff
10,29717,582,30324,1048,29177,1501,28924,1009,1510,1817,13.36,-14.08,22.25,-37.1,5.45,-59.49,1.74,-35.18,40_0008550_0008574-reel_begin_end.tiff
11,32754,570,33318,1098,32193,1502,31957,1003,1510,1817,13.46,-13.48,21.73,-39.57,5.24,-59.54,1.79,-34.88,40_0008550_0008574-reel_begin_end.tiff
12,35757,587,36335,924,35181,1502,34967,1002,1510,1817,13.36,-14.32,21.83,-30.98,4.92,-59.54,1.79,-34.83,40_0008550_0008574-reel_begin_end.tiff
