A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2492,303,2599,299,1989,1313,1231,1017,1591,1227,19.53,1.48,21.09,1.67,12.19,-46.82,1.14,-32.66
2,5493,303,5603,303,4711,1299,4228,1021,1591,1227,19.48,1.48,21.09,1.48,8.08,-46.15,1.04,-32.85
3,8493,306,8607,303,8081,1339,7245,1024,1591,1227,19.28,1.34,20.94,1.48,13.27,-48.06,1.08,-33.0
4,11520,303,11630,303,10946,1316,10272,1024,1591,1227,19.34,1.48,20.94,1.48,10.97,-46.96,1.14,-33.0
5,14530,313,14644,303,13779,1296,13282,1024,1591,1227,19.28,1.0,20.94,1.48,8.33,-46.0,1.08,-33.0
6,17538,309,17652,313,17242,1349,16290,1021,1591,1227,19.34,1.19,21.0,1.0,15.02,-48.54,1.14,-32.85
7,20572,309,20682,306,19921,1299,19317,1021,1591,1227,19.34,1.19,20.94,1.34,9.85,-46.15,1.04,-32.85
8,23578,306,23699,306,22635,1286,22333,1021,1591,1227,19.23,1.34,21.0,1.34,5.49,-45.53,1.08,-32.85
9,26582,306,26693,299,25535,1229,25337,1017,1591,1227,19.23,1.34,20.85,1.67,3.97,-42.8,1.08,-32.66
10,29615,309,29726,313,29357,1363,28367,1021,1591,1227,19.23,1.19,20.85,1.0,15.47,-49.21,1.04,-32.85
11,32622,309,32770,514,31783,1302,31381,1027,1591,1227,19.28,1.19,21.44,-8.61,7.05,-46.29,1.18,-33.14
12,35626,303,35764,494,35153,1296,34385,1021,1591,1227,19.13,1.48,21.14,-7.65,12.24,-46.0,1.04,-32.85
