A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3974,306,4092,316,3729,1373,2733,1024,1584,2733,19.13,1.8,20.85,1.32,15.56,-49.5,1.04,-32.72
2,6982,303,7106,474,6730,1356,5737,1024,1584,2733,19.19,1.94,20.99,-6.28,15.51,-48.68,1.04,-32.72
3,9998,306,10125,363,9454,1333,8757,1024,1584,2733,19.09,1.8,20.94,-0.94,11.15,-47.57,0.99,-32.72
4,13031,306,13145,296,12783,1349,11783,1024,1584,2733,19.23,1.8,20.89,2.28,15.62,-48.34,1.04,-32.72
5,16028,299,16146,299,15706,1333,14784,1021,1584,2733,19.13,2.14,20.85,2.14,14.43,-47.57,0.99,-32.57
6,19049,303,19166,376,18744,1296,17804,1021,1584,2733,19.23,1.94,20.94,-1.57,14.78,-45.79,1.08,-32.57
7,22072,303,22314,625,21253,1306,20827,1024,1584,2733,19.23,1.94,22.76,-13.54,7.29,-46.28,1.08,-32.72
8,25075,306,25290,769,24736,1356,23834,1024,1584,2733,19.09,1.8,22.22,-20.46,14.14,-48.68,0.99,-32.72
9,28086,306,28257,621,27421,1306,26848,1017,1584,2733,19.19,1.8,21.68,-13.34,9.49,-46.28,1.14,-32.38
10,31119,306,31250,524,30287,1232,29874,1024,1584,2733,19.19,1.8,21.1,-8.68,7.06,-42.72,1.04,-32.72
11,34126,309,34243,574,33351,1286,32878,1021,1584,2733,19.23,1.66,20.94,-11.08,7.93,-45.31,1.04,-32.57
12,37131,306,37252,477,36909,1363,35886,1027,1584,2733,21.14,1.8,22.9,-6.42,17.9,-49.02,2.99,-32.86
