A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,2462,303,2562,303,1985,1296,1214,1024,1588,1217,19.22,1.48,20.69,1.48,12.23,-46.0,0.93,-33.0
2,5481,299,5585,303,5106,1286,4237,1021,1588,1217,19.17,1.67,20.69,1.48,13.67,-45.53,0.93,-32.85
3,8491,309,8592,323,8270,1336,7243,1024,1588,1217,19.27,1.19,20.75,0.52,16.03,-47.92,0.97,-33.0
4,11511,306,11612,299,11105,1323,10260,1024,1588,1217,19.37,1.34,20.85,1.67,13.42,-47.3,1.03,-33.0
5,14534,306,14638,299,14343,1356,13289,1031,1588,1217,19.22,1.34,20.75,1.67,16.42,-48.87,0.97,-33.33
6,17539,303,17647,319,16778,1292,16291,1024,1588,1217,19.27,1.48,20.85,0.71,8.11,-45.81,0.97,-33.0
7,20547,303,20691,571,20077,1299,19299,1031,1588,1217,19.33,1.48,21.44,-11.34,12.44,-46.15,1.03,-33.33
8,23580,306,23690,313,22966,1289,22332,1027,1588,1217,19.33,1.34,20.94,1.0,10.33,-45.67,1.03,-33.14
9,26585,303,26696,303,26172,1326,25340,1024,1588,1217,19.22,1.48,20.85,1.48,13.17,-47.44,0.97,-33.0
10,29592,306,29700,306,28814,1296,28348,1027,1588,1217,19.27,1.34,20.85,1.34,7.86,-46.0,1.03,-33.14
11,32621,303,32728,303,32416,1346,31373,1031,1588,1217,19.22,1.48,20.79,1.48,16.22,-48.39,0.93,-33.33
12,35634,303,35738,299,35003,1299,34386,1027,1588,1217,19.22,1.48,20.75,1.67,9.97,-46.15,0.93,-33.14
